UniProt Acc,Gene Name,Protein Name
Q9BXA7,TSSK1B,Testis-specific serine/threonine-protein kinase 1
O75051,PLXNA2,Plexin-A2
O95479,H6PD,GDH/6PGL endoplasmic bifunctional protein
Q14703,MBTPS1,Membrane-bound transcription factor site-1 protease
Q7Z3Z2,RD3,Protein RD3
Q86X40,LRRC28,Leucine-rich repeat-containing protein 28
Q9HCL2,GPAM,"Glycerol-3-phosphate acyltransferase 1, mitochondrial"
Q9H244,P2RY12,P2Y purinoceptor 12
Q5VX71,SUSD4,Sushi domain-containing protein 4
O15488,GYG2,Glycogenin-2
Q2KHT3,CLEC16A,Protein CLEC16A
Q99679,GPR21,Probable G-protein coupled receptor 21
Q9HAW0,BRF2,Transcription factor IIIB 50 kDa subunit
Q96GI7,FAM89A,Protein FAM89A
Q8N831,TSPYL6,Testis-specific Y-encoded-like protein 6
Q9UF02,CACNG5,Voltage-dependent calcium channel gamma-5 subunit
O00472,ELL2,RNA polymerase II elongation factor ELL2
Q07001,CHRND,Acetylcholine receptor subunit delta
Q96CX6,LRRC58,Leucine-rich repeat-containing protein 58
P08842,STS,Steryl-sulfatase
P10253,GAA,Lysosomal alpha-glucosidase
Q8N442,GUF1,"Translation factor GUF1, mitochondrial"
P78508,KCNJ10,ATP-sensitive inward rectifier potassium channel 10
Q03721,KCNC4,Voltage-gated potassium channel KCNC4
A6NED2,RCCD1,RCC1 domain-containing protein 1
Q9NWW0,HCFC1R1,Host cell factor C1 regulator 1
Q3L8U1,CHD9,Chromodomain-helicase-DNA-binding protein 9
O14656,TOR1A,Torsin-1A
Q8N9Z0,ZNF610,Zinc finger protein 610
Q8TF30,WHAMM,"WASP homolog-associated protein with actin, membranes and microtubules"
P15907,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1"
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7
Q9NQZ7,ENTPD7,Ectonucleoside triphosphate diphosphohydrolase 7
Q9Y2U9,KLHDC2,Kelch domain-containing protein 2
Q5GFL6,VWA2,von Willebrand factor A domain-containing protein 2
Q9H4A9,DPEP2,Dipeptidase 2
O00631,SLN,Sarcolipin
O94967,WDR47,WD repeat-containing protein 47
Q15116,PDCD1,Programmed cell death protein 1
Q09019,DMWD,Dystrophia myotonica WD repeat-containing protein
Q9Y5G3,PCDHGB1,Protocadherin gamma-B1
Q9NPC8,SIX2,Homeobox protein SIX2
Q9HD89,RETN,Resistin
Q9H158,PCDHAC1,Protocadherin alpha-C1
O15496,PLA2G10,Group 10 secretory phospholipase A2
Q9NZR4,VSX1,Visual system homeobox 1
P54764,EPHA4,Ephrin type-A receptor 4
Q5SZD1,C6orf141,Uncharacterized protein C6orf141
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
Q8N3Z3,GTPBP8,GTP-binding protein 8
P11047,LAMC1,Laminin subunit gamma-1
Q17RP2,TIGD6,Tigger transposable element-derived protein 6
Q8N2G8,GHDC,GH3 domain-containing protein
O15213,WDR46,WD repeat-containing protein 46
P27930,IL1R2,Interleukin-1 receptor type 2
Q9H093,NUAK2,NUAK family SNF1-like kinase 2
Q9NZU1,FLRT1,Leucine-rich repeat transmembrane protein FLRT1
P49641,MAN2A2,Alpha-mannosidase 2x
Q02252,ALDH6A1,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial"
P06028,GYPB,Glycophorin-B
Q8NFZ4,NLGN2,Neuroligin-2
Q8TEL6,TRPC4AP,Short transient receptor potential channel 4-associated protein
A4D1P6,WDR91,WD repeat-containing protein 91
P08235,NR3C2,Mineralocorticoid receptor
Q6L9W6,B4GALNT3,"Beta-1,4-N-acetylgalactosaminyltransferase 3"
Q8IVM8,SLC22A9,Organic anion transporter 7
Q9UIL1,SCOC,Short coiled-coil protein
Q13061,TRDN,Triadin
Q9NZV8,KCND2,A-type voltage-gated potassium channel KCND2
Q9H0X9,OSBPL5,Oxysterol-binding protein-related protein 5
Q8N8Y2,ATP6V0D2,V-type proton ATPase subunit d 2
P09210,GSTA2,Glutathione S-transferase A2
P54284,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3
Q68CZ1,RPGRIP1L,Protein fantom
Q96FC9,DDX11,ATP-dependent DNA helicase DDX11
Q12948,FOXC1,Forkhead box protein C1
Q8TDZ2,MICAL1,[F-actin]-monooxygenase MICAL1
Q86UE6,LRRTM1,Leucine-rich repeat transmembrane neuronal protein 1
Q92772,CDKL2,Cyclin-dependent kinase-like 2
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
A2VCK2,DCDC2B,Doublecortin domain-containing protein 2B
O43674,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
P51826,AFF3,AF4/FMR2 family member 3
Q86TL0,ATG4D,Cysteine protease ATG4D
Q8NCS7,SLC44A5,Choline transporter-like protein 5
Q9BZ11,ADAM33,Disintegrin and metalloproteinase domain-containing protein 33
Q96NT1,NAP1L5,Nucleosome assembly protein 1-like 5
Q99741,CDC6,Cell division control protein 6 homolog
Q8IZT6,ASPM,Abnormal spindle-like microcephaly-associated protein
Q53H47,SETMAR,Histone-lysine N-methyltransferase SETMAR
Q6ZMP0,THSD4,Thrombospondin type-1 domain-containing protein 4
Q7Z6Z6,PNPLA5,Patatin-like phospholipase domain-containing protein 5
Q9HB65,ELL3,RNA polymerase II elongation factor ELL3
Q9UBL9,P2RX2,P2X purinoceptor 2
P33908,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"
Q50LG9,LRRC24,Leucine-rich repeat-containing protein 24
P30040,ERP29,Endoplasmic reticulum resident protein 29
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"
Q6P1J6,PLB1,"Phospholipase B1, membrane-associated"
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A
P18887,XRCC1,DNA repair protein XRCC1
Q9Y5R8,TRAPPC1,Trafficking protein particle complex subunit 1
Q9BYJ1,ALOXE3,Hydroperoxide isomerase ALOXE3
Q86W33,TPRA1,Transmembrane protein adipocyte-associated 1
Q9NVX7,KBTBD4,Kelch repeat and BTB domain-containing protein 4
Q6JEL2,KLHL10,Kelch-like protein 10
Q76B58,BRINP3,BMP/retinoic acid-inducible neural-specific protein 3
Q9H0V9,LMAN2L,VIP36-like protein
Q8NFX7,STXBP6,Syntaxin-binding protein 6
Q9C0I9,LRRC27,Leucine-rich repeat-containing protein 27
Q6ZMZ0,RNF19B,E3 ubiquitin-protein ligase RNF19B
P49326,FMO5,Flavin-containing monooxygenase 5
Q9UHQ9,CYB5R1,NADH-cytochrome b5 reductase 1
Q9UI47,CTNNA3,Catenin alpha-3
Q53H54,TRMT12,tRNA wybutosine-synthesizing protein 2 homolog
P30679,GNA15,Guanine nucleotide-binding protein subunit alpha-15
O75610,LEFTY1,Left-right determination factor 1
Q8N0U7,C1orf87,Uncharacterized protein C1orf87
Q86WT6,TRIM69,E3 ubiquitin-protein ligase TRIM69
Q8IY33,MICALL2,MICAL-like protein 2
P00748,F12,Coagulation factor XII
O95455,TGDS,"dTDP-D-glucose 4,6-dehydratase"
P42568,MLLT3,Protein AF-9
Q93086,P2RX5,P2X purinoceptor 5
Q2TAL8,QRICH1,Transcriptional regulator QRICH1
Q9NRM6,IL17RB,Interleukin-17 receptor B
Q8TCX1,DYNC2LI1,Cytoplasmic dynein 2 light intermediate chain 1
P11532,DMD,Dystrophin
Q96BH1,RNF25,E3 ubiquitin-protein ligase RNF25
Q5SZL2,CEP85L,Centrosomal protein of 85 kDa-like
Q9BT92,TCHP,Trichoplein keratin filament-binding protein
Q5VSG8,MANEAL,"Glycoprotein endo-alpha-1,2-mannosidase-like protein"
P22612,PRKACG,cAMP-dependent protein kinase catalytic subunit gamma
A8MT70,ZBBX,Zinc finger B-box domain-containing protein 1
P09923,ALPI,Intestinal-type alkaline phosphatase
Q6PCD5,RFWD3,E3 ubiquitin-protein ligase RFWD3
Q14678,KANK1,KN motif and ankyrin repeat domain-containing protein 1
O75052,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1
O43299,AP5Z1,AP-5 complex subunit zeta-1
Q4U2R8,SLC22A6,Solute carrier family 22 member 6
Q96FZ7,CHMP6,Charged multivesicular body protein 6
Q5T764,IFIT1B,Interferon-induced protein with tetratricopeptide repeats 1B
Q562E7,WDR81,WD repeat-containing protein 81
Q9Y450,HBS1L,HBS1-like protein
O60938,KERA,Keratocan
Q9NRR4,DROSHA,Ribonuclease 3
Q96E22,NUS1,Dehydrodolichyl diphosphate synthase complex subunit NUS1
Q9UL51,HCN2,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
P51825,AFF1,AF4/FMR2 family member 1
Q8NI29,FBXO27,F-box only protein 27
Q93063,EXT2,Exostosin-2
Q92882,OSTF1,Osteoclast-stimulating factor 1
Q9Y5E2,PCDHB7,Protocadherin beta-7
Q5U5R9,HECTD2,Probable E3 ubiquitin-protein ligase HECTD2
O75496,GMNN,Geminin
Q9H0W7,THAP2,THAP domain-containing protein 2
P18848,ATF4,Cyclic AMP-dependent transcription factor ATF-4
Q15915,ZIC1,Zinc finger protein ZIC 1
Q8N3L3,TXLNB,Beta-taxilin
P55286,CDH8,Cadherin-8
Q7Z6I8,C5orf24,UPF0461 protein C5orf24
Q9UNU6,CYP8B1,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase
Q96MN9,ZNF488,Zinc finger protein 488
Q9UKJ3,GPATCH8,G patch domain-containing protein 8
Q8TC44,POC1B,POC1 centriolar protein homolog B
Q96AB3,ISOC2,Isochorismatase domain-containing protein 2
P34820,BMP8B,Bone morphogenetic protein 8B
Q9BUP0,EFHD1,EF-hand domain-containing protein D1
Q86XK7,VSIG1,V-set and immunoglobulin domain-containing protein 1
Q6UWQ5,LYZL1,Lysozyme-like protein 1
Q96F05,C11orf24,Uncharacterized protein C11orf24
Q8NEP9,ZNF555,Zinc finger protein 555
Q15813,TBCE,Tubulin-specific chaperone E
O60888,CUTA,Protein CutA
Q15131,CDK10,Cyclin-dependent kinase 10
Q9UJ68,MSRA,Mitochondrial peptide methionine sulfoxide reductase
P30711,GSTT1,Glutathione S-transferase theta-1
Q15555,MAPRE2,Microtubule-associated protein RP/EB family member 2
Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial"
P51654,GPC3,Glypican-3
P14543,NID1,Nidogen-1
Q8N4A0,GALNT4,Polypeptide N-acetylgalactosaminyltransferase 4
Q309B1,TRIM16L,Tripartite motif-containing protein 16-like protein
Q15078,CDK5R1,Cyclin-dependent kinase 5 activator 1
Q9HAT2,SIAE,Sialate O-acetylesterase
P54840,GYS2,"Glycogen [starch] synthase, liver"
Q709C8,VPS13C,Intermembrane lipid transfer protein VPS13C
P20340,RAB6A,Ras-related protein Rab-6A
Q9Y2S2,CRYL1,Lambda-crystallin homolog
P49454,CENPF,Centromere protein F
O43281,EFS,Embryonal Fyn-associated substrate
Q9NRY5,FAM114A2,Protein FAM114A2
Q96T66,NMNAT3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3
P56555,DSCR4,Down syndrome critical region protein 4
Q9H0J9,PARP12,Protein mono-ADP-ribosyltransferase PARP12
Q04446,GBE1,"1,4-alpha-glucan-branching enzyme"
Q6PKC3,TXNDC11,Thioredoxin domain-containing protein 11
Q01664,TFAP4,Transcription factor AP-4
P43630,KIR3DL2,Killer cell immunoglobulin-like receptor 3DL2
Q96CB9,NSUN4,5-cytosine rRNA methyltransferase NSUN4
Q9UBF2,COPG2,Coatomer subunit gamma-2
Q96MT8,CEP63,Centrosomal protein of 63 kDa
Q96K19,RNF170,E3 ubiquitin-protein ligase RNF170
Q9C0K1,SLC39A8,Metal cation symporter ZIP8
O75626,PRDM1,PR domain zinc finger protein 1
Q8IYW4,ENTHD1,ENTH domain-containing protein 1
Q8N335,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein
Q96T58,SPEN,Msx2-interacting protein
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9
O00295,TULP2,Tubby-related protein 2
Q6UWT4,C5orf46,Uncharacterized protein C5orf46
Q96PH1,NOX5,NADPH oxidase 5
Q96PV6,LENG8,Leukocyte receptor cluster member 8
O14764,GABRD,Gamma-aminobutyric acid receptor subunit delta
Q9Y2L1,DIS3,Exosome complex exonuclease RRP44
Q9NWM0,SMOX,Spermine oxidase
Q9UKF2,ADAM30,Disintegrin and metalloproteinase domain-containing protein 30
Q9H8W5,TRIM45,E3 ubiquitin-protein ligase TRIM45
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1"
Q8N4N3,KLHL36,Kelch-like protein 36
Q8N239,KLHL34,Kelch-like protein 34
P12524,MYCL,Protein L-Myc
Q8IXQ4,GPALPP1,GPALPP motifs-containing protein 1
Q0IIM8,TBC1D8B,TBC1 domain family member 8B
P46098,HTR3A,5-hydroxytryptamine receptor 3A
O95478,NSA2,Ribosome biogenesis protein NSA2 homolog
Q96RR4,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2
Q9BUE0,MED18,Mediator of RNA polymerase II transcription subunit 18
Q8TDN2,KCNV2,Potassium voltage-gated channel subfamily V member 2
Q96HU1,SGSM3,Small G protein signaling modulator 3
O60637,TSPAN3,Tetraspanin-3
Q9NYQ6,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1
Q86YJ5,MARCHF9,E3 ubiquitin-protein ligase MARCHF9
Q674R7,ATG9B,Autophagy-related protein 9B
O95718,ESRRB,Steroid hormone receptor ERR2
O75493,CA11,Carbonic anhydrase-related protein 11
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10
Q96B54,ZNF428,Zinc finger protein 428
Q96SQ9,CYP2S1,Cytochrome P450 2S1
Q7L4E1,MIGA2,Mitoguardin 2
Q9Y2B0,CNPY2,Protein canopy homolog 2
Q9UK11,ZNF223,Zinc finger protein 223
Q13610,PWP1,Periodic tryptophan protein 1 homolog
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2
Q9Y5I4,PCDHAC2,Protocadherin alpha-C2
Q16394,EXT1,Exostosin-1
Q2T9J0,TYSND1,Peroxisomal leader peptide-processing protease
Q7Z614,SNX20,Sorting nexin-20
Q96CJ1,EAF2,ELL-associated factor 2
Q8TF01,PNISR,Arginine/serine-rich protein PNISR
Q7Z3V5,ZNF571,Zinc finger protein 571
Q9C0D3,ZYG11B,Protein zyg-11 homolog B
P55058,PLTP,Phospholipid transfer protein
Q8NE71,ABCF1,ATP-binding cassette sub-family F member 1
P18858,LIG1,DNA ligase 1
Q8WTX9,ZDHHC1,Palmitoyltransferase ZDHHC1
Q6P1K2,PMF1,Polyamine-modulated factor 1
O14558,HSPB6,Heat shock protein beta-6
Q8N695,SLC5A8,Sodium-coupled monocarboxylate transporter 1
Q58WW2,DCAF6,DDB1- and CUL4-associated factor 6
Q52LD8,RFTN2,Raftlin-2
Q9UJT2,TSKS,Testis-specific serine kinase substrate
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1
Q8N7C3,TRIML2,Probable E3 ubiquitin-protein ligase TRIML2
Q6QEF8,CORO6,Coronin-6
Q8IYG6,LRRC56,Leucine-rich repeat-containing protein 56
Q5EBL4,RILPL1,RILP-like protein 1
Q9Y2E4,DIP2C,Disco-interacting protein 2 homolog C
Q6V0I7,FAT4,Protocadherin Fat 4
Q58FG1,HSP90AA4P,Putative heat shock protein HSP 90-alpha A4
Q2Y0W8,SLC4A8,Electroneutral sodium bicarbonate exchanger 1
Q96HL8,SH3YL1,SH3 domain-containing YSC84-like protein 1
Q5TCY1,TTBK1,Tau-tubulin kinase 1
Q9UBQ6,EXTL2,Exostosin-like 2
O95395,GCNT3,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3"
Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2
Q99439,CNN2,Calponin-2
P46059,SLC15A1,Solute carrier family 15 member 1
Q8IZQ5,SELENOH,Selenoprotein H
Q96L08,SUSD3,Sushi domain-containing protein 3
P24530,EDNRB,Endothelin receptor type B
Q8TDH9,BLOC1S5,Biogenesis of lysosome-related organelles complex 1 subunit 5
P57727,TMPRSS3,Transmembrane protease serine 3
Q9BTV7,CABLES2,CDK5 and ABL1 enzyme substrate 2
Q02447,SP3,Transcription factor Sp3
P81133,SIM1,Single-minded homolog 1
P23743,DGKA,Diacylglycerol kinase alpha
P43155,CRAT,Carnitine O-acetyltransferase
Q6P3S6,FBXO42,F-box only protein 42
Q9P2H5,USP35,Ubiquitin carboxyl-terminal hydrolase 35
Q96M02,C10orf90,(E2-independent) E3 ubiquitin-conjugating enzyme FATS
Q14994,NR1I3,Nuclear receptor subfamily 1 group I member 3
Q8TEB7,RNF128,E3 ubiquitin-protein ligase RNF128
Q9UQ26,RIMS2,Regulating synaptic membrane exocytosis protein 2
O14939,PLD2,Phospholipase D2
Q9GZV1,ANKRD2,Ankyrin repeat domain-containing protein 2
Q92835,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1"
O14599,BPY2C,Testis-specific basic protein Y 2
P42261,GRIA1,Glutamate receptor 1
Q9NZV6,MSRB1,Methionine-R-sulfoxide reductase B1
Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1
Q9BXA6,TSSK6,Testis-specific serine/threonine-protein kinase 6
Q9Y228,TRAF3IP3,TRAF3-interacting JNK-activating modulator
Q6PJ69,TRIM65,E3 ubiquitin-protein ligase TRIM65
Q02153,GUCY1B1,Guanylate cyclase soluble subunit beta-1
P78539,SRPX,Sushi repeat-containing protein SRPX
O14867,BACH1,Transcription regulator protein BACH1
P03891,MT-ND2,NADH-ubiquinone oxidoreductase chain 2
O75460,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1
Q9HBY8,SGK2,Serine/threonine-protein kinase Sgk2
P07203,GPX1,Glutathione peroxidase 1
Q8NER1,TRPV1,Transient receptor potential cation channel subfamily V member 1
Q8WTQ7,GRK7,Rhodopsin kinase GRK7
Q9NR20,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4
Q9ULJ6,ZMIZ1,Zinc finger MIZ domain-containing protein 1
P80192,MAP3K9,Mitogen-activated protein kinase kinase kinase 9
Q9BYT3,STK33,Serine/threonine-protein kinase 33
Q9Y6S9,RPS6KL1,Ribosomal protein S6 kinase-like 1
Q9Y222,DMTF1,Cyclin-D-binding Myb-like transcription factor 1
P53671,LIMK2,LIM domain kinase 2
Q9BXS4,TMEM59,Transmembrane protein 59
Q9UKI2,CDC42EP3,Cdc42 effector protein 3
Q8IW41,MAPKAPK5,MAP kinase-activated protein kinase 5
P11801,PSKH1,Serine/threonine-protein kinase H1
Q59H18,TNNI3K,Serine/threonine-protein kinase TNNI3K
Q96PF2,TSSK2,Testis-specific serine/threonine-protein kinase 2
Q8WXF8,DEDD2,DNA-binding death effector domain-containing protein 2
P35326,SPRR2A,Small proline-rich protein 2A
P53801,PTTG1IP,Pituitary tumor-transforming gene 1 protein-interacting protein
Q86UX6,STK32C,Serine/threonine-protein kinase 32C
Q8NFD2,ANKK1,Ankyrin repeat and protein kinase domain-containing protein 1
P17655,CAPN2,Calpain-2 catalytic subunit
Q12851,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2
Q9P1W9,PIM2,Serine/threonine-protein kinase pim-2
Q8NE63,HIPK4,Homeodomain-interacting protein kinase 4
Q9BXW6,OSBPL1A,Oxysterol-binding protein-related protein 1
Q8NG66,NEK11,Serine/threonine-protein kinase Nek11
Q9HBE1,PATZ1,"POZ-, AT hook-, and zinc finger-containing protein 1"
P63151,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
Q9UHR5,SAP30BP,SAP30-binding protein
Q8N8V4,ANKS4B,Ankyrin repeat and SAM domain-containing protein 4B
Q8WXR4,MYO3B,Myosin-IIIb
Q96PY6,NEK1,Serine/threonine-protein kinase Nek1
Q86SG6,NEK8,Serine/threonine-protein kinase Nek8
Q969W1,ZDHHC16,Palmitoyltransferase ZDHHC16
Q2V2M9,FHOD3,FH1/FH2 domain-containing protein 3
Q99856,ARID3A,AT-rich interactive domain-containing protein 3A
P25105,PTAFR,Platelet-activating factor receptor
Q8N4X5,AFAP1L2,Actin filament-associated protein 1-like 2
P20138,CD33,Myeloid cell surface antigen CD33
P15529,CD46,Membrane cofactor protein
Q9H2V7,SPNS1,Protein spinster homolog 1
Q9HCM9,TRIM39,E3 ubiquitin-protein ligase TRIM39
Q9BQ95,ECSIT,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
Q5T011,SZT2,KICSTOR complex protein SZT2
Q9Y6I7,WSB1,WD repeat and SOCS box-containing protein 1
O95925,EPPIN,Eppin
Q70CQ1,USP49,Ubiquitin carboxyl-terminal hydrolase 49
P15918,RAG1,V(D)J recombination-activating protein 1
Q5JY77,GPRASP1,G-protein coupled receptor-associated sorting protein 1
O00206,TLR4,Toll-like receptor 4
Q6WN34,CHRDL2,Chordin-like protein 2
Q15853,USF2,Upstream stimulatory factor 2
O00193,SMAP,Small acidic protein
P69891,HBG1,Hemoglobin subunit gamma-1
Q9BQ83,SLX1B,Structure-specific endonuclease subunit SLX1
P11245,NAT2,Arylamine N-acetyltransferase 2
P28356,HOXD9,Homeobox protein Hox-D9
Q9BQ15,NABP2,SOSS complex subunit B1
O15297,PPM1D,Protein phosphatase 1D
O75896,TUSC2,Tumor suppressor candidate 2
Q8N594,MPND,MPN domain-containing protein
Q9Y5J1,UTP18,U3 small nucleolar RNA-associated protein 18 homolog
Q8N157,AHI1,Jouberin
P14653,HOXB1,Homeobox protein Hox-B1
P08138,NGFR,Tumor necrosis factor receptor superfamily member 16
P48995,TRPC1,Short transient receptor potential channel 1
P07358,C8B,Complement component C8 beta chain
P14651,HOXB3,Homeobox protein Hox-B3
O60240,PLIN1,Perilipin-1
O00327,BMAL1,Basic helix-loop-helix ARNT-like protein 1
P07911,UMOD,Uromodulin
P01374,LTA,Lymphotoxin-alpha
P57729,RAB38,Ras-related protein Rab-38
Q99743,NPAS2,Neuronal PAS domain-containing protein 2
P09630,HOXC6,Homeobox protein Hox-C6
P29320,EPHA3,Ephrin type-A receptor 3
Q99963,SH3GL3,Endophilin-A3
Q9UBY0,SLC9A2,Sodium/hydrogen exchanger 2
Q96I34,PPP1R16A,Protein phosphatase 1 regulatory subunit 16A
P31249,HOXD3,Homeobox protein Hox-D3
P20719,HOXA5,Homeobox protein Hox-A5
Q9UM63,PLAGL1,Zinc finger protein PLAGL1
Q8NI08,NCOA7,Nuclear receptor coactivator 7
Q8WW43,APH1B,Gamma-secretase subunit APH-1B
Q9NZN9,AIPL1,Aryl-hydrocarbon-interacting protein-like 1
O94763,URI1,Unconventional prefoldin RPB5 interactor 1
P22460,KCNA5,Potassium voltage-gated channel subfamily A member 5
Q2M3G0,ABCB5,ATP-binding cassette sub-family B member 5
Q5EB52,MEST,Mesoderm-specific transcript homolog protein
P13378,HOXD8,Homeobox protein Hox-D8
O14896,IRF6,Interferon regulatory factor 6
P12544,GZMA,Granzyme A
P02748,C9,Complement component C9
Q5SW96,LDLRAP1,Low density lipoprotein receptor adapter protein 1
Q9UI32,GLS2,"Glutaminase liver isoform, mitochondrial"
Q5XUX0,FBXO31,F-box only protein 31
P28358,HOXD10,Homeobox protein Hox-D10
Q7L1V2,MON1B,Vacuolar fusion protein MON1 homolog B
P62508,ESRRG,Estrogen-related receptor gamma
P31277,HOXD11,Homeobox protein Hox-D11
O94927,HAUS5,HAUS augmin-like complex subunit 5
Q15849,SLC14A2,Urea transporter 2
Q9UNF1,MAGED2,Melanoma-associated antigen D2
P07585,DCN,Decorin
P30874,SSTR2,Somatostatin receptor type 2
P10643,C7,Complement component C7
Q86VX9,MON1A,Vacuolar fusion protein MON1 homolog A
P86790,CCZ1B,Vacuolar fusion protein CCZ1 homolog B
P61764,STXBP1,Syntaxin-binding protein 1
Q5EG05,CARD16,Caspase recruitment domain-containing protein 16
Q99576,TSC22D3,TSC22 domain family protein 3
Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
O14594,NCAN,Neurocan core protein
Q12765,SCRN1,Secernin-1
P28065,PSMB9,Proteasome subunit beta type-9
Q07890,SOS2,Son of sevenless homolog 2
Q9UI36,DACH1,Dachshund homolog 1
Q96RL1,UIMC1,BRCA1-A complex subunit RAP80
Q13367,AP3B2,AP-3 complex subunit beta-2
Q9NPA2,MMP25,Matrix metalloproteinase-25
Q9UPT5,EXOC7,Exocyst complex component 7
Q06732,ZNF33B,Zinc finger protein 33B
Q8N531,FBXL6,F-box/LRR-repeat protein 6
Q08426,EHHADH,Peroxisomal bifunctional enzyme
O43513,MED7,Mediator of RNA polymerase II transcription subunit 7
O75521,ECI2,Enoyl-CoA delta isomerase 2
P11684,SCGB1A1,Uteroglobin
Q9NUI1,DECR2,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"
Q9BTZ2,DHRS4,Dehydrogenase/reductase SDR family member 4
Q6RW13,AGTRAP,Type-1 angiotensin II receptor-associated protein
P83436,COG7,Conserved oligomeric Golgi complex subunit 7
Q9H7E9,C8orf33,UPF0488 protein C8orf33
Q9BPY8,HOPX,Homeodomain-only protein
Q9Y210,TRPC6,Short transient receptor potential channel 6
O76083,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
O15304,SIVA1,Apoptosis regulatory protein Siva
Q9NR64,KLHL1,Kelch-like protein 1
P48443,RXRG,Retinoic acid receptor RXR-gamma
Q12979,ABR,Active breakpoint cluster region-related protein
O95198,KLHL2,Kelch-like protein 2
Q9UKT8,FBXW2,F-box/WD repeat-containing protein 2
Q2WGJ6,KLHL38,Kelch-like protein 38
Q8IXH6,TP53INP2,Tumor protein p53-inducible nuclear protein 2
O60828,PQBP1,Polyglutamine-binding protein 1
P55017,SLC12A3,Solute carrier family 12 member 3
Q2KHM9,KIAA0753,Protein moonraker
Q6Y288,B3GLCT,"Beta-1,3-glucosyltransferase"
P34972,CNR2,Cannabinoid receptor 2
Q9H0Q3,FXYD6,FXYD domain-containing ion transport regulator 6
Q05084,ICA1,Islet cell autoantigen 1
Q5VSY0,GKAP1,G kinase-anchoring protein 1
Q96HT8,MRFAP1L1,MORF4 family-associated protein 1-like 1
Q8NDC0,MAPK1IP1L,MAPK-interacting and spindle-stabilizing protein-like
Q969L2,MAL2,Protein MAL2
Q96S06,LMF1,Lipase maturation factor 1
Q9H1B4,NXF5,Nuclear RNA export factor 5
Q13105,ZBTB17,Zinc finger and BTB domain-containing protein 17
O14776,TCERG1,Transcription elongation regulator 1
Q96IW2,SHD,SH2 domain-containing adapter protein D
Q9NZS9,BFAR,Bifunctional apoptosis regulator
Q9NY47,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2
Q16478,GRIK5,"Glutamate receptor ionotropic, kainate 5"
Q8WV60,PTCD2,"Pentatricopeptide repeat-containing protein 2, mitochondrial"
P50336,PPOX,Protoporphyrinogen oxidase
O75132,ZBED4,Zinc finger BED domain-containing protein 4
Q9H213,MAGEH1,Melanoma-associated antigen H1
Q8WTV1,THAP3,THAP domain-containing protein 3
Q969V4,TEKT1,Tektin-1
Q9Y577,TRIM17,E3 ubiquitin-protein ligase TRIM17
Q96R06,SPAG5,Sperm-associated antigen 5
O14798,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C
Q9NPR9,GPR108,Protein GPR108
