Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
Q14145	reviewed	KEAP1_HUMAN	Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)	KEAP1 INRF2 KIAA0132 KLHL19	Homo sapiens (Human)	624	8590280; 14702039; 15057824; 15489334; 14585973; 15379550; 15572695; 15983046; 15601839; 15657435; 19489739; 16006525; 16687406; 17046835; 17127771; 18251510; 18387606; 19424503; 20495340; 20452972; 21269460; 23274085; 24089205; 26517842; 24630991; 28380357; 29590092; 30323285; 28842501; 37339955; 15583386; 16204884; 16888629; 24896564; 16507366; 17020408; 16959974
Q14249	reviewed	NUCG_HUMAN	Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)	ENDOG	Homo sapiens (Human)	297	15164053; 15489334; 7789991; 21269460; 25355512; 29719607; 33473107
Q14318	reviewed	FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)	412	12510191; 15105374; 18385096; 17974005; 15057824; 7543869; 15489334; 16176796; 15990872; 15757646; 15733859; 15592455; 17090549; 16844119; 18459960; 21269460; 23186163; 25621951; 25944712; 28169297; 16604427; 20140889
Q14457	reviewed	BECN1_HUMAN	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197	Homo sapiens (Human)	450	9765397; 10395800; 14702039; 15489334; 7490091; 16179260; 17446862; 18005679; 18843052; 18570871; 18691976; 17724469; 19050071; 19180116; 19759141; 19369195; 20643123; 19270696; 19713971; 21364619; 20819940; 20208530; 21444671; 21962518; 21358617; 22498477; 21936852; 22493499; 22205736; 22814378; 23974797; 23184933; 23186163; 23878393; 24349490; 25127057; 25275521; 25484083; 25490155; 25803737; 26263979; 26347139; 25891078; 27693506; 26783301; 27562068; 28479384; 28445460; 29604308; 31806350; 31123703; 34870550; 37776275; 17337444; 17659302; 18797192; 24443581
Q14596	reviewed	NBR1_HUMAN	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	NBR1 1A13B KIAA0049 M17S2 MIG19	Homo sapiens (Human)	966	8069304; 7584044; 16625196; 15489334; 11179671; 7581362; 12813044; 15802564; 24331465; 19427866; 19250911; 20068231; 23186163; 24879152; 33226137; 34471133; 33577621; 35914352; 16376336; 24692539
Q14643	reviewed	ITPR1_HUMAN	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	ITPR1 INSP3R1	Homo sapiens (Human)	2758	7945203; 7852357; 7500840; 16641997; 8648241; 12032348; 14685260; 15652484; 17081983; 16793548; 16990611; 17590087; 18669648; 19220705; 19159218; 20068231; 23650607; 23884412; 23186163; 24275569; 27995898; 18579805; 22986007; 26770814; 27108797; 27108798; 30197081
Q14653	reviewed	IRF3_HUMAN	Interferon regulatory factor 3 (IRF-3)	IRF3	Homo sapiens (Human)	427	8524823; 14702039; 15057824; 15489334; 9803267; 9566918; 10920266; 10805757; 11035028; 11124948; 11314014; 11846977; 12471095; 12186937; 14517278; 12702806; 14739303; 16281057; 16153868; 16846591; 16979567; 18711448; 18641315; 19153231; 19557502; 21167755; 20049431; 20628368; 20308324; 22394562; 23186163; 24049179; 23478265; 23746807; 24275569; 26347139; 25609812; 27980081; 28331227; 29802199; 29427864; 26216125; 25636800; 31413131; 30863402; 30867312; 30878284; 31340999; 32726803; 33440148; 35914352; 35922005; 36603579; 14555995; 14555996; 15510218; 16154084; 27302953; 32972995
Q14694	reviewed	UBP10_HUMAN	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190	Homo sapiens (Human)	798	11439350; 8724849; 14702039; 17974005; 15616553; 15489334; 17081983; 16964243; 17487921; 17693683; 18632802; 18669648; 18318008; 19413330; 19398555; 19690332; 20096447; 20068231; 21269460; 21962518; 21406692; 23186163; 23279204; 24845384; 24275569; 25861989; 27022092; 32302570; 32011234; 31981475; 34348161; 34469731; 36183834; 37582970; 36279435
Q14964	reviewed	RB39A_HUMAN	Ras-related protein Rab-39A (Rab-39)	RAB39A RAB39	Homo sapiens (Human)	217	9119394; 14702039; 15489334; 21255211; 24349490
Q15036	reviewed	SNX17_HUMAN	Sorting nexin-17	SNX17 KIAA0064	Homo sapiens (Human)	470	7584044; 14702039; 15815621; 15489334; 12665801; 11237770; 14739284; 15121882; 15769472; 16712798; 18669648; 19005208; 19690332; 20068231; 21269460; 21406692; 22492727; 23186163; 24275569; 28892079; 33436498; 21512128
Q15139	reviewed	KPCD1_HUMAN	Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)	PRKD1 PKD PKD1 PRKCM	Homo sapiens (Human)	912	8119958; 14702039; 12508121; 10523301; 10764790; 12893243; 12505989; 12637538; 15471852; 15024053; 17703233; 17804414; 17442957; 18076381; 18332134; 18509061; 19413330; 19135240; 19211839; 11978539; 15701647; 18239146; 19369195; 19655095; 21357900; 21406692; 24623306; 16959974; 17344846; 27479907
Q15154	reviewed	PCM1_HUMAN	Pericentriolar material 1 protein (PCM-1) (hPCM-1)	PCM1	Homo sapiens (Human)	2024	8120099; 16421571; 15489334; 14702039; 10980597; 9361024; 12403812; 14654843; 14520415; 15144186; 15107855; 15184884; 16270321; 15805263; 16034466; 15659651; 16091753; 17081983; 16769584; 16943179; 16424865; 16291865; 16964243; 18669648; 19413330; 19690332; 19608861; 20551181; 20719959; 20068231; 21269460; 21406692; 22223895; 24121310; 23186163; 24089205; 24816561; 25074808; 24275569; 25944712; 26643951; 27979967; 28235840; 29973724; 30804208; 31789463; 34782749
Q15386	reviewed	UBE3C_HUMAN	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083	7584026; 12853948; 12690205; 15489334; 11278995; 9575161; 12692129; 16341092; 16601690; 17323924; 21167755; 21269460; 24811749; 24158444; 25752573; 25752577; 28396413; 31375563; 34239127; 33637724; 32039437; 36401616
Q15418	reviewed	KS6A1_HUMAN	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)	735	8141249; 14702039; 16710414; 15489334; 9687510; 9430688; 10679322; 11684016; 12213813; 12832467; 15117958; 15342917; 16213824; 16223362; 16763566; 16964243; 17360704; 18722121; 18508509; 18691976; 18813292; 18669648; 19369195; 20068231; 21269460; 22017876; 21406692; 23186163; 24275569; 26158630; 30842327; 35772404; 17965187; 17344846
Q15436	reviewed	SC23A_HUMAN	Protein transport protein Sec23A (hSec23A) (SEC23-related protein A)	SEC23A	Homo sapiens (Human)	765	8898360; 14702039; 12508121; 15489334; 17192411; 18669648; 21269460; 22223895; 22814378; 24275569; 25944712; 28442536; 31806350; 34349020; 17499046; 18843296; 27551091; 16980979
Q15628	reviewed	TRADD_HUMAN	Tumor necrosis factor receptor type 1-associated DEATH domain protein (TNFR1-associated DEATH domain protein) (TNFRSF1A-associated via death domain)	TRADD	Homo sapiens (Human)	312	7758105; 14702039; 15616553; 15489334; 8612133; 10356400; 11032752; 11684708; 14585990; 15310755; 20628368; 21269460; 21307340; 23955153; 24130170; 28069818; 29449376; 30902834; 32766249; 10911999; 10892748; 30979585
Q15751	reviewed	HERC1_HUMAN	Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619)	HERC1	Homo sapiens (Human)	4861	8861955; 16572171; 15489334; 9233772; 12650930; 14960311; 15642342; 17081983; 16464865; 17525332; 18220336; 18669648; 19690332; 20068231; 21269460; 21406692; 23186163; 24275569; 26138117; 29463886
Q15811	reviewed	ITSN1_HUMAN	Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17)	ITSN1 ITSN SH3D1A	Homo sapiens (Human)	1721	9799604; 10482960; 19777371; 21712076; 14702039; 10830953; 15489334; 9630982; 11690630; 9465890; 11584276; 11744688; 18669648; 19413330; 19718658; 19690332; 20946875; 20068231; 20448150; 21269460; 22648170; 22484487; 23186163; 24275569; 27670116; 29030480; 29599122; 32315611; 12006984; 29887380
Q15831	reviewed	STK11_HUMAN	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS	Homo sapiens (Human)	433	9425897; 9537235; 14702039; 15057824; 15489334; 10508479; 11212897; 11741830; 11430832; 12097271; 12805220; 14517248; 15016379; 14976552; 15021901; 15733851; 15987703; 17108107; 17216128; 17711506; 17676035; 17384680; 18594528; 18321849; 31519760; 18687677; 18854309; 19369195; 20559149; 21269460; 21317932; 21396365; 21380642; 22983157; 23572524; 23612973; 23186163; 24275569; 25329316; 19892943; 9837816; 9605748; 9731485; 9809980; 9760200; 9683800; 9428765; 10079245; 10408777; 9887330; 10429654; 10201537; 10208439; 12372054; 12533684; 17344846; 21411391
Q16236	reviewed	NF2L2_HUMAN	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	Homo sapiens (Human)	605	14702039; 15815621; 15489334; 17974005; 7937919; 11035812; 11256947; 15601839; 15983046; 19489739; 18387606; 19424503; 20452972; 20068231; 21597468; 21196497; 23186163; 25995248; 29983246; 29590092; 31398338; 28842501; 30158636; 33009401; 33087717; 16888629; 29018201
Q16526	reviewed	CRY1_HUMAN	Cryptochrome-1	CRY1 PHLL1	Homo sapiens (Human)	586	8909283; 8921389; 8600518; 15489334; 10531061; 14672706; 16790549; 17463251; 20852621; 21613214; 22170608; 23133559; 22798407; 23303907; 23916625; 26431207; 27565346; 28388406; 30530698
Q16539	reviewed	MK14_HUMAN	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a)	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A	Homo sapiens (Human)	360	7997261; 7696354; 7479834; 10727080; 11866441; 19906316; 14702039; 14574404; 15489334; 12665801; 7923354; 7535770; 7493921; 8622669; 9687510; 9430721; 9792677; 10391943; 9858528; 10330143; 10943842; 10838079; 10747897; 11010976; 11278799; 11359773; 11154262; 11333986; 11847341; 15284239; 15905572; 15592455; 15735648; 15735649; 16751104; 16932740; 17003045; 16352664; 17724032; 17525332; 18088087; 18691976; 18669648; 19369195; 19690332; 19893488; 20932473; 20188673; 20068231; 21269460; 21224381; 21586573; 21444723; 21283629; 12452429; 20626350; 23186163; 24275569; 25944712; 30878395; 35857590; 8910361; 9095200; 9753691; 10633045; 11896401; 12482439; 14561090; 12897767; 14726206; 16342939; 15837335; 16169718; 15658854; 17255097; 17344846
Q16666	reviewed	IF16_HUMAN	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	Homo sapiens (Human)	785	1526658; 7959953; 30104205; 12894224; 14702039; 16710414; 15489334; 9718316; 7536752; 7806273; 9766636; 9642285; 11146555; 14654843; 14654789; 16964243; 18669648; 19690332; 19608861; 20388717; 20890285; 20068231; 21269460; 21575908; 21573174; 22046441; 22618232; 22291595; 23027953; 22691496; 23186163; 24198334; 24413532; 24275569; 24531343; 25218447; 25114211; 25772364; 28112733; 21397192; 22483801
Q2KHT3	reviewed	CL16A_HUMAN	Protein CLEC16A (C-type lectin domain family 16 member A)	CLEC16A KIAA0350	Homo sapiens (Human)	1053	9205841; 12168954; 14702039; 15489334; 17632545; 23186163; 24949970
Q2TAZ0	reviewed	ATG2A_HUMAN	Autophagy-related protein 2 homolog A	ATG2A KIAA0404	Homo sapiens (Human)	1938	9455477; 14702039; 16554811; 15489334; 18669648; 21887408; 22219374; 23186163; 24275569; 28820312; 28561066; 31271352; 30952800; 32610138; 33106659; 33850023; 32483132
Q30154	reviewed	DRB5_HUMAN	HLA class II histocompatibility antigen, DR beta 5 chain (DR beta-5) (DR2-beta-2) (Dw2) (MHC class II antigen DRB5)	HLA-DRB5	Homo sapiens (Human)	266	3099214; 3571980; 3259543; 2001975; 14702039; 14574404; 15489334; 9162096; 2885840; 3476943; 6576979; 8773325; 9226128; 14617041; 16671952; 9458128; 9694360; 1471145; 8598037; 11684289; 17241953; 18046453; 18305173; 19092054; 19533806; 19159218; 21269460; 11080454; 11163233; 12244309; 16079912
Q3MII6	reviewed	TBC25_HUMAN	TBC1 domain family member 25	TBC1D25 OATL1	Homo sapiens (Human)	688	15772651; 15489334; 18669648; 19690332; 20068231; 21383079; 23186163; 24275569
Q3SXY8	reviewed	AR13B_HUMAN	ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 2-like 1) (ARL2-like protein 1)	ARL13B ARL2L1	Homo sapiens (Human)	428	17974005; 16641997; 15489334; 15314642; 18554500; 20643351; 23128241; 24339792; 23150559; 23223633; 24120134; 25138100; 18674751; 21068128
Q3ZAQ7	reviewed	VMA21_HUMAN	Vacuolar ATPase assembly integral membrane protein VMA21 (Myopathy with excessive autophagy protein)	VMA21 MEAX XMEA	Homo sapiens (Human)	101	14702039; 15772651; 15489334; 19379691; 20873370; 21269460; 23315026; 24488655; 25683699; 29127204
Q4G0M1	reviewed	ERFE_HUMAN	Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin)	ERFE C1QTNF15 CTRP15 FAM132B	Homo sapiens (Human)	354	24880340; 15815621; 15489334; 30097509; 31800957
Q53GT1	reviewed	KLH22_HUMAN	Kelch-like protein 22	KLHL22	Homo sapiens (Human)	634	15461802; 14702039; 10591208; 15489334; 19995937; 22223895; 23186163; 24067371; 23455478; 29769719; 28493397
Q5BJD5	reviewed	TM41B_HUMAN	Transmembrane protein 41B (Protein stasimon)	TMEM41B KIAA0033	Homo sapiens (Human)	291	7584026; 14702039; 16554811; 15489334; 18691976; 20068231; 21269460; 23186163; 30352685; 30126924; 30093494; 30933966; 33382968; 33338421; 34015269; 33929485; 34043740; 33850023
Q5BJF2	reviewed	SGMR2_HUMAN	Sigma intracellular receptor 2 (S2R) (Sigma-2 receptor) (Sigma2 receptor) (Meningioma-associated protein 30) (MAC30) (Transmembrane protein 97)	TMEM97 MAC30 S2R	Homo sapiens (Human)	176	7694637; 14702039; 16625196; 15489334; 15375745; 18070364; 19583955; 21269460; 22292588; 25566323; 23922215; 25620095; 25944712; 27378690; 28559337; 28007569; 30443021; 34233061; 34799735; 34880501; 35970844; 37047353
Q5D1E8	reviewed	ZC12A_HUMAN	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	Homo sapiens (Human)	599	16574901; 14702039; 16710414; 15489334; 18178554; 18364357; 19185603; 19747262; 19909337; 20137095; 22055188; 22037600; 23185455; 24048733; 23500036; 23186163; 23355615; 24191027; 26320658; 25861989; 26134560; 22561375
Q5JY77	reviewed	GASP1_HUMAN	G-protein coupled receptor-associated sorting protein 1 (GASP-1)	GPRASP1 GASP KIAA0443	Homo sapiens (Human)	1395	9455477; 15772651; 15489334; 12142540; 15452121; 15086532; 23954414
Q5M8T2	reviewed	S35D3_HUMAN	Solute carrier family 35 member D3 (Fringe connection-like protein 1)	SLC35D3 FRCL1	Homo sapiens (Human)	416	14702039; 14574404; 15489334; 34269178
Q5MNZ6	reviewed	WIPI3_HUMAN	WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45-like) (WDR45-like protein) (WD repeat-containing protein 45B) (WIPI49-like protein)	WDR45B WDR45L WIPI3	Homo sapiens (Human)	344	28561066; 16625196; 15602573; 28503735; 30797857; 32483132
Q5MNZ9	reviewed	WIPI1_HUMAN	WD repeat domain phosphoinositide-interacting protein 1 (WIPI-1) (Atg18 protein homolog) (WD40 repeat protein interacting with phosphoinositides of 49 kDa) (WIPI 49 kDa)	WIPI1 WIPI49	Homo sapiens (Human)	446	15602573; 14702039; 16625196; 15489334; 15020712; 17618624; 19590496; 20639694; 20114074; 20484055; 20529838; 20059746; 21317285; 21564513; 21896713; 22829830; 23088497; 28561066; 31271352; 33499712
Q5QJU3	reviewed	ACER2_HUMAN	Alkaline ceramidase 2 (AlkCDase 2) (Alkaline CDase 2) (haCER2) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3-like) (N-acylsphingosine amidohydrolase 3-like)	ACER2 ASAH3L PP11646	Homo sapiens (Human)	275	16940153; 15498874; 15164053; 15489334; 18945876; 20207939; 20089856; 20628055; 26943039; 28294157; 29229990
Q5S007	reviewed	LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	2527	15541309; 16541075; 17974005; 16081470; 16321986; 16087219; 16269541; 16352719; 16532471; 17120249; 17114044; 20949042; 21850687; 22012985; 22952686; 23395371; 23776530; 24275569; 24687852; 26824392; 26014385; 27830463; 29125462; 28720718; 29127255; 30398148; 29212815; 30647193; 35266954; 18230735; 28202711; 30635421; 15541308; 15726496; 15732108; 15852371; 16240353; 15880653; 15929036; 16251215; 16272164; 16333314; 16272257; 15680455; 15680456; 15680457; 15811454; 16001413; 16250030; 16172858; 16157901; 16247070; 16157908; 16157909; 15925109; 16298482; 16102999; 16533964; 17019612; 17344846; 18213618; 21248752; 21641266; 22415848; 22956510; 25201882
Q5T0N5	reviewed	FBP1L_HUMAN	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	FNBP1L C1orf39 TOCA1	Homo sapiens (Human)	605	15260990; 16710414; 15489334; 14702039; 16326391; 16630611; 16418535; 16757518; 18669648; 19413330; 19342671; 19798448; 20068231; 21269460; 21406692; 23186163; 24275569
Q5T6F0	reviewed	DCA12_HUMAN	DDB1- and CUL4-associated factor 12 (Centrosome-related protein TCC52) (Testis cancer centrosome-related protein) (WD repeat-containing protein 40A)	DCAF12 KIAA1892 TCC52 WDR40A	Homo sapiens (Human)	453	11572484; 14702039; 15164053; 15489334; 17974005; 16949367; 16964240; 18957058; 23186163; 29779948; 31267705; 34065512; 19966799
Q5T8D3	reviewed	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5	ACBD5 KIAA1996	Homo sapiens (Human)	534	17081983; 18691976; 18669648; 18318008; 19690332; 23186163; 24535825; 14702039; 15164054; 15489334; 17974005; 23105016; 24275569; 27799409
Q5TA50	reviewed	CPTP_HUMAN	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	Homo sapiens (Human)	214	16710414; 15489334; 24275569; 29164996; 28011644; 23863933
Q5THJ4	reviewed	VP13D_HUMAN	Intermembrane lipid transfer protein VPS13D (Vacuolar protein sorting-associated protein 13D)	VPS13D KIAA0453	Homo sapiens (Human)	4388	15498460; 16710414; 9455484; 14702039; 17974005; 15489334; 18669648; 19690332; 19608861; 20068231; 21406692; 23186163; 24275569; 29307555; 29604224; 29518281
Q5U651	reviewed	RAIN_HUMAN	Ras-interacting protein 1 (Rain)	RASIP1	Homo sapiens (Human)	963	15031288; 15489334; 22354037; 24275569
Q5VVQ6	reviewed	OTU1_HUMAN	Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)	YOD1 DUBA8 HIN7 OTUD2 PRO0907	Homo sapiens (Human)	348	14702039; 16710414; 15489334; 17974005; 11483580; 19818707; 21269460; 27753622; 23827681
Q5VWJ9	reviewed	SNX30_HUMAN	Sorting nexin-30	SNX30	Homo sapiens (Human)	437	15164053; 18669648; 20068231; 21269460; 24275569; 32513819
Q5VZM2	reviewed	RRAGB_HUMAN	Ras-related GTP-binding protein B (Rag B) (RagB) (EC 3.6.5.-)	RRAGB	Homo sapiens (Human)	374	7499430; 9394008; 14702039; 17974005; 15772651; 15489334; 11073942; 18497260; 20381137; 22980980; 22575674; 22814378; 23186163; 24095279; 25259925; 23723238; 25561175; 25567906
Q5W041	reviewed	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	ARMC3	Homo sapiens (Human)	872	16915934; 14702039; 15164054; 15489334; 16397042; 34428398
Q63HN8	reviewed	RN213_HUMAN	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR	Homo sapiens (Human)	5207	21799892; 17974005; 16625196; 15489334; 12112524; 10997877; 14702039; 18691976; 18669648; 18318008; 19369195; 19690332; 20454556; 20068231; 21269460; 21406692; 23186163; 24275569; 25218447; 24658080; 26070522; 26278786; 26766444; 30705059; 30846318; 32139119; 33842849; 34012115; 21048783; 22931863; 22688072; 22377813; 23110205; 23994138; 25043520; 25278557; 26198278; 26126547; 25956231; 27736983; 28635953; 29387438; 31645973; 27787485; 33568546
Q66K74	reviewed	MAP1S_HUMAN	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1	Homo sapiens (Human)	1059	14627543; 16297881; 14702039; 17974005; 15057824; 15489334; 11827465; 12762840; 15205320; 15907802; 15753381; 15899810; 17081983; 17658481; 17234756; 18419581; 18445686; 18220336; 18691976; 18669648; 19413330; 19369195; 19690332; 20068231; 21269460; 21406692; 22523538; 23186163; 24275569
Q674R7	reviewed	ATG9B_HUMAN	Autophagy-related protein 9B (APG9-like 2) (Nitric oxide synthase 3-overlapping antisense gene protein) (Protein sONE)	ATG9B APG9L2 NOS3AS	Homo sapiens (Human)	924	15234981; 14702039; 12853948; 15755735; 15489334; 17403686; 18936157
Q676U5	reviewed	A16L1_HUMAN	Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L UNQ9393/PRO34307	Homo sapiens (Human)	607	15620219; 17200669; 12975309; 14702039; 15815621; 15489334; 17974005; 18849966; 18669648; 20637199; 20639872; 20068231; 21808068; 22749352; 23376921; 23392225; 24238340; 23186163; 23262492; 26083323; 26347139; 25891078; 28561066; 29317426; 30143514; 30778222; 33087875; 33909989; 23202584; 24191030; 25484072; 26812546; 17484864; 17435756; 18047540; 18499543; 19659808; 18985712; 24656308; 24553140; 24954904; 25645662; 27273576
Q6AZZ1	reviewed	TRI68_HUMAN	E3 ubiquitin-protein ligase TRIM68 (EC 2.3.2.27) (RING finger protein 137) (RING-type E3 ubiquitin transferase TRIM68) (SSA protein SS-56) (SS-56) (Tripartite motif-containing protein 68)	TRIM68 GC109 RNF137 SS56	Homo sapiens (Human)	485	11560955; 14702039; 16554811; 15489334; 11597395; 18451177
Q6IAA8	reviewed	LTOR1_HUMAN	Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho)	LAMTOR1 C11orf59 PDRO PP7157	Homo sapiens (Human)	161	15498874; 14702039; 15489334; 16964243; 18669648; 19413330; 19654316; 19690332; 20381137; 20544018; 20068231; 21269460; 22980980; 23186163; 24275569; 25255805; 25807930; 25561175; 25944712; 25567906; 29644770; 30020076; 30181260; 31001086; 32686708; 34999170; 36476874; 35893977; 29285400; 29107538; 29123114; 29158492; 28935770; 31704029; 31601708; 31672913; 32868926; 35338845; 36103527; 36697823
Q6IQ22	reviewed	RAB12_HUMAN	Ras-related protein Rab-12	RAB12	Homo sapiens (Human)	244	16177791; 15489334; 18669648; 19413330; 20937701; 21269460; 21194374; 22223895; 22814378; 23186163; 26824392; 29125462
Q6P589	reviewed	TP8L2_HUMAN	Tumor necrosis factor alpha-induced protein 8-like protein 2 (TIPE2) (TNF alpha-induced protein 8-like protein 2) (TNFAIP8-like protein 2) (Inflammation factor protein 20)	TNFAIP8L2	Homo sapiens (Human)	184	18455983; 14702039; 17974005; 16710414; 15489334; 21459448; 27043859; 32188758; 32460619; 19079267
Q6PHR2	reviewed	ULK3_HUMAN	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3	Homo sapiens (Human)	472	14702039; 17974005; 16572171; 15489334; 18691976; 19279323; 19878745; 20643644; 21269460
Q6PJ69	reviewed	TRI65_HUMAN	E3 ubiquitin-protein ligase TRIM65 (EC 2.3.2.27) (Tripartite motif-containing protein 65)	TRIM65	Homo sapiens (Human)	517	16625196; 15489334; 19413330; 22223895; 24778252; 28084320; 28594402; 31160576; 31310649; 34512673; 33373584
Q6UWE0	reviewed	LRSM1_HUMAN	E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356	Homo sapiens (Human)	723	12975309; 14702039; 15164053; 15489334; 15256501; 17556548; 18669648; 20865121; 20068231; 21269460; 23245322; 22012984; 25484098; 24275569; 27615052; 27686364
Q6UX65	reviewed	DRAM2_HUMAN	DNA damage-regulated autophagy modulator protein 2 (Transmembrane protein 77)	DRAM2 TMEM77 PSEC0031 UNQ154/PRO180	Homo sapiens (Human)	266	12975309; 16710414; 15489334; 16303743; 19895784; 19556885; 25983245
Q6UXG2	reviewed	ELAP1_HUMAN	Endosome/lysosome-associated apoptosis and autophagy regulator 1 (Estrogen-induced gene 121 protein)	ELAPOR1 EIG121 KIAA1324 UNQ2426/PRO4985	Homo sapiens (Human)	1013	12975309; 16710414; 15489334; 10718198; 16322283; 21072319; 26045166; 16959974
