,Gene,Alphafold IDR Content,Length,Localization,HIPPIE Protein Counts
Q96LM6,SPMIP9,93.9,180,"['Nucleus', 'Cytoplasm']",0
Q96LR2,LURAP1,77.8,239,['Cytoplasm'],122
Q96LR5,UBE2E2,26.9,201,None,78
Q96LR9,APOLD1,41.6,279,['Cell membrane; Multi-pass membrane protein'],5
Q96LT4,SAMD8,16.6,415,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],2
Q96LT7,C9orf72,2.7,481,"['Nucleus', 'Cytoplasm', 'Cytoplasm, P-body', 'Cytoplasm, Stress granule', 'Endosome', 'Lysosome', 'Cytoplasmic vesicle, autophagosome', 'Secreted', 'Cell projection, axon', 'Cell projection, growth cone', 'Perikaryon']",105
Q96LT9,RNPC3,58.4,517,['Nucleus'],0
Q96LW2,RSKR,25.4,410,None,0
Q96LW4,PRIMPOL,37.3,560,"['Nucleus', 'Mitochondrion matrix', 'Chromosome']",20
Q96LW7,CARD19,55.7,228,None,0
Q96LX7,CCDC17,52.6,622,None,12
Q96LX8,ZNF597,43.4,424,['Nucleus'],24
Q96LZ3,PPP3R2,5.9,170,['Mitochondrion'],32
Q96LZ7,RMDN2,30.5,410,"['Membrane; Single-pass membrane protein', 'Cytoplasm', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole']",27
Q96M02,C10orf90,93.7,699,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",7
Q96M11,HYLS1,100.0,299,"['Cytoplasm', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",5
Q96M27,PRRC1,52.6,445,"['Golgi apparatus', 'Cytoplasm']",40
Q96M29,TEKT5,21.9,485,"['Cell projection, cilium, flagellum']",46
Q96M32,AK7,7.7,723,"['Cytoplasm, cytosol', 'Cell projection, cilium, flagellum']",7
Q96M61,MAGEB18,35.6,343,['Cytoplasm'],9
Q96M63,ODAD1,46.0,670,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
Q96M91,CFAP53,39.7,514,"['Cytoplasm, cytoskeleton, cilium axoneme', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite', 'Cytoplasm, cytoskeleton, spindle pole', 'Cell projection, cilium, flagellum', 'Cytoplasm, cytoskeleton']",28
Q96M94,KLHL15,4.0,604,['Nucleus'],70
Q96M96,FGD4,31.2,766,"['Cytoplasm, cytoskeleton', 'Cell projection, filopodium']",19
Q96M98,PACRG,34.5,296,"['Cytoplasm, cytoskeleton, cilium axoneme']",26
Q96MA6,AK8,2.1,479,"['Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton, cilium axoneme']",15
Q96MB7,HARBI1,10.3,349,"['Nucleus', 'Cytoplasm']",1
Q96MC2,DRC1,30.8,740,"['Cytoplasm, cytoskeleton, cilium axoneme', 'Cytoplasm, cytoskeleton, flagellum axoneme']",0
Q96MD2,KICS2,2.5,445,['Lysosome membrane'],0
Q96MF2,STAC3,51.9,364,"['Cytoplasm', 'Cell membrane, sarcolemma; Peripheral membrane protein; Cytoplasmic side', 'Cell membrane, sarcolemma, T-tubule']",39
Q96MF7,NSMCE2,19.0,247,"['Nucleus', 'Chromosome, telomere', 'Nucleus, PML body']",29
Q96MG2,JSRP1,100.0,331,"['Sarcoplasmic reticulum membrane', 'Endoplasmic reticulum membrane']",19
Q96MG7,NSMCE3,30.9,304,"['Cytoplasm', 'Nucleus', 'Chromosome, telomere']",0
Q96MG8,PCMTD1,20.4,357,"['Cytoplasm', 'Membrane; Lipid-anchor']",16
Q96MH2,HEXIM2,69.6,286,['Nucleus'],73
Q96MH6,TMEM68,13.9,324,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],0
Q96MI6,PPM1M,12.6,459,['Nucleus'],51
Q96MI9,AGBL1,17.4,1112,"['Cytoplasm, cytosol']",5
Q96MK3,FAM20A,20.1,541,"['Secreted', 'Golgi apparatus', 'Endoplasmic reticulum']",6
Q96MM3,ZFP42,52.3,310,['Nucleus'],15
Q96MM7,HS6ST2,46.6,605,['Membrane; Single-pass type II membrane protein'],49
Q96MN2,NLRP4,0.0,994,None,7
Q96MN9,ZNF488,87.6,340,['Nucleus'],19
Q96MP8,KCTD7,22.5,289,"['Cell membrane', 'Cytoplasm, cytosol']",48
Q96MR6,CFAP57,28.3,1250,"['Cytoplasm, cytoskeleton, cilium axoneme']",5
Q96MS0,ROBO3,42.4,1386,['Membrane; Single- pass type I membrane protein'],12
Q96MT3,PRICKLE1,64.3,831,"['Nucleus membrane', 'Cytoplasm, cytosol']",14
Q96MT7,CFAP44,25.6,1854,"['Cell projection, cilium, flagellum', 'Cytoplasm, cytoskeleton, flagellum axoneme']",7
Q96MT8,CEP63,55.9,703,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite']",175
Q96MU7,YTHDC1,74.8,727,"['Nucleus', 'Nucleus speckle']",143
Q96MU8,KREMEN1,37.4,473,['Cell membrane; Single-pass type I membrane protein'],2
Q96MV1,TLCD4,4.9,263,['Membrane; Multi-pass membrane protein'],0
Q96MV8,ZDHHC15,13.1,337,"['Golgi apparatus membrane; Multi-pass membrane protein', 'Postsynaptic density']",45
Q96MW5,COG8,26.6,612,['Golgi apparatus membrane; Peripheral membrane protein'],36
Q96MX0,CMTM3,27.5,182,['Membrane; Multi-pass membrane protein'],27
Q96MX3,ZNF48,52.3,618,['Nucleus'],140
Q96MY7,FAM161B,89.8,647,None,77
Q96N16,JAKMIP1,52.2,626,"['Cytoplasm, cytoskeleton', 'Membrane; Peripheral membrane protein']",23
Q96N19,GPR137,31.9,417,['Lysosome membrane; Multi-pass membrane protein'],4
Q96N21,TEPSIN,52.8,525,"['Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Cytoplasmic vesicle', 'Cytoplasm, cytosol']",134
Q96N58,ZNF578,35.8,590,['Nucleus'],14
Q96N64,PWWP2A,80.8,755,['Nucleus'],64
Q96N66,MBOAT7,4.9,472,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],144
Q96N67,DOCK7,19.6,2140,"['Cell projection, axon']",172
Q96N76,UROC1,2.2,676,None,2
Q96N77,ZNF641,57.5,438,['Nucleus'],21
Q96N87,SLC6A18,8.0,628,['Membrane; Multi-pass membrane protein'],0
Q96N95,ZNF396,51.9,335,None,19
Q96N96,SPATA13,34.0,652,"['Cytoplasm', 'Cell projection, filopodium', 'Cell projection, lamellipodium', 'Cell projection, ruffle membrane']",14
Q96NA2,RILP,55.1,401,"['Late endosome membrane', 'Lysosome membrane', 'Cytoplasmic vesicle, phagosome membrane']",17
Q96NB1,CEP20,52.3,174,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, cilium basal body', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasmic granule', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite']",0
Q96NB2,SFXN2,0.3,322,"['Mitochondrion inner membrane; Multi-pass membrane protein', 'Mitochondrion outer membrane; Multi-pass membrane protein']",69
Q96NB3,ZNF830,67.2,372,"['Nucleus', 'Chromosome', 'Nucleus speckle']",42
Q96NC0,ZMAT2,70.9,199,['Nucleus'],86
Q96NE9,FRMD6,39.9,622,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",64
Q96NG3,ODAD4,30.7,672,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
Q96NG5,ZNF558,26.6,402,['Nucleus'],23
Q96NH3,TBC1D32,5.9,1257,"['Cytoplasm', 'Cell projection, cilium']",88
Q96NI6,LRFN5,36.6,719,['Membrane; Single-pass type I membrane protein'],1
Q96NL6,SCLT1,31.4,688,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",155
Q96NL8,CFAP418,47.8,207,"['Cytoplasm', 'Photoreceptor inner segment']",0
Q96NM4,TOX2,92.2,488,['Nucleus'],29
Q96NN9,AIFM3,10.2,605,['Mitochondrion'],10
Q96NR3,PTCHD1,4.8,888,['Cell membrane; Multi-pass membrane protein'],0
Q96NR8,RDH12,4.4,316,['Endoplasmic reticulum membrane'],40
Q96NT0,CCDC115,26.1,180,"['Endosome', 'Lysosome', 'Endoplasmic reticulum-Golgi intermediate compartment', 'Cytoplasmic vesicle, COPI-coated vesicle', 'Endoplasmic reticulum']",77
Q96NT3,GUCD1,8.3,240,None,0
Q96NT5,SLC46A1,6.5,459,"['Cell membrane; Multi-pass membrane protein', 'Apical cell membrane; Multi-pass membrane protein', 'Basolateral cell membrane; Multi-pass membrane protein', 'Endosome membrane; Multi-pass membrane protein', 'Cytoplasm']",3
Q96NU1,SAMD11,89.1,681,['Nucleus'],34
Q96NW4,ANKRD27,25.0,1050,"['Early endosome', 'Late endosome', 'Cytoplasmic vesicle membrane', 'Lysosome', 'Cell membrane', 'Melanosome']",29
Q96NW7,LRRC7,66.4,1537,"['Cytoplasm', 'Postsynaptic density']",20
Q96NX5,CAMK1G,35.9,476,"['Cytoplasm', 'Golgi apparatus membrane; Peripheral membrane protein', 'Cell membrane; Peripheral membrane protein']",11
Q96NY7,CLIC6,46.2,704,"['Cytoplasm', 'Cell membrane; Single-pass membrane protein']",5
Q96NY8,NECTIN4,37.1,510,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, adherens junction', '[Processed poliovirus receptor-related protein 4]: Secreted']",0
Q96NY9,MUS81,18.0,551,"['Nucleus, nucleolus']",42
Q96NZ1,FOXN4,76.4,517,['Nucleus'],5
Q96NZ8,WFIKKN1,17.0,548,['Secreted'],14
Q96NZ9,PRAP1,100.0,151,"['Secreted', 'Endoplasmic reticulum']",16
Q96P09,BIRC8,18.6,236,['Cytoplasm'],32
Q96P11,NSUN5,0.0,429,"['Nucleus, nucleolus']",40
Q96P15,SERPINB11,3.3,392,['Cytoplasm'],8
Q96P16,RPRD1A,22.4,312,['Nucleus'],150
Q96P20,NLRP3,7.6,1036,"['Cytoplasm, cytosol', 'Inflammasome', 'Cytoplasm, cytoskeleton, microtubule organizing center', 'Golgi apparatus membrane', 'Endoplasmic reticulum', 'Mitochondrion', 'Secreted', 'Nucleus']",85
Q96P26,NT5C1B,44.8,610,['Cytoplasm'],2
Q96P31,FCRL3,26.3,734,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, microvillus membrane']",13
Q96P44,COL21A1,56.5,957,"['Secreted, extracellular space, extracellular matrix', 'Cytoplasm']",7
Q96P47,AGAP3,36.0,875,['Cytoplasm'],49
Q96P48,ARAP1,23.7,1450,"['Cytoplasm', 'Golgi apparatus, Golgi stack membrane; Peripheral membrane protein', 'Cell membrane']",35
Q96P53,WDFY2,3.5,400,"['Endosome', 'Early endosome', 'Cytoplasm']",30
Q96P56,CATSPER2,27.4,530,"['Cell projection, cilium, flagellum membrane; Multi-pass membrane protein']",2
Q96P63,SERPINB12,0.2,405,['Cytoplasm'],69
Q96P65,QRFPR,23.0,431,['Cell membrane; Multi-pass membrane protein'],3
Q96P66,GPR101,41.5,508,['Cell membrane; Multi-pass membrane protein'],24
Q96P68,OXGR1,10.7,337,['Cell membrane; Multi-pass membrane protein'],0
Q96P70,IPO9,6.4,1041,"['Cytoplasm', 'Nucleus']",157
Q96P71,NECAB3,39.9,396,['Golgi apparatus'],9
Q96PB1,CASD1,4.9,797,['Golgi apparatus membrane; Multi-pass membrane protein'],3
Q96PB7,OLFM3,7.9,478,"['Secreted', 'Synapse']",13
Q96PC2,IP6K3,19.0,410,['Cytoplasm'],29
Q96PC3,AP1S3,6.5,154,"['Golgi apparatus', 'Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Membrane, clathrin- coated pit']",16
Q96PC5,MIA2,69.7,1412,['Endoplasmic reticulum membrane; Single-pass membrane protein'],55
Q96PD2,DCBLD2,50.3,775,['Membrane; Single- pass type I membrane protein'],38
Q96PD4,IL17F,42.3,163,['Secreted'],26
Q96PD5,PGLYRP2,18.1,576,"['Secreted', 'Membrane']",1
Q96PD6,MOGAT1,1.8,335,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],1
Q96PD7,DGAT2,11.6,388,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Lipid droplet', 'Cytoplasm, perinuclear region']",5
Q96PE1,ADGRA2,32.7,1338,"['Cell membrane; Multi-pass membrane protein', 'Cell projection, filopodium']",0
Q96PE2,ARHGEF17,61.9,2063,None,39
Q96PE3,INPP4A,17.5,977,"['Early endosome membrane', 'Recycling endosome membrane', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Postsynaptic density']",13
Q96PE7,MCEE,23.3,176,['Mitochondrion'],8
Q96PF1,TGM7,0.0,710,None,32
Q96PF2,TSSK2,18.7,358,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",11
Q96PG8,BBC3,100.0,261,None,8
Q96PH1,NOX5,11.9,765,None,14
Q96PH6,DEFB118,79.7,123,['Secreted'],3
Q96PJ5,FCRL4,31.1,515,['Cell membrane; Single-pass type I membrane protein'],14
Q96PK6,RBM14,78.0,669,"['Nucleus', 'Nucleus, nucleolus', 'Cytoplasm']",287
Q96PL5,ERMAP,32.0,475,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasm']",24
Q96PM5,RCHY1,7.3,261,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",309
Q96PM9,ZNF385A,80.6,386,"['Cytoplasm', 'Nucleus, nucleolus', 'Cell projection, dendrite']",8
Q96PN6,ADCY10,2.5,1610,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cytoskeleton', 'Cytoplasm, perinuclear region', 'Nucleus', 'Cell projection, cilium', 'Cytoplasm', 'Mitochondrion']",4
Q96PN7,TRERF1,82.4,1200,['Nucleus'],20
Q96PN8,TSSK3,0.0,268,None,61
Q96PP8,GBP5,14.8,586,"['Cytoplasmic vesicle membrane; Lipid-anchor, GPI-like-anchor', 'Golgi apparatus membrane; Lipid-anchor', 'Cytoplasm']",17
Q96PP9,GBP4,3.0,640,"['Golgi apparatus membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm, perinuclear region']",5
Q96PQ0,SORCS2,19.0,1159,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection', 'Cytoplasmic vesicle membrane; Single-pass type I membrane protein', 'Early endosome membrane', 'Recycling endosome membrane', 'Synapse, synaptosome', 'Perikaryon', 'Cell projection, dendrite', 'Cell projection, dendritic spine', 'Postsynaptic density membrane']",14
Q96PQ1,SIGLEC12,26.4,595,['Membrane; Single-pass type I membrane protein'],22
Q96PQ6,ZNF317,30.9,595,['Nucleus'],58
Q96PR1,KCNC2,40.0,638,"['Cell membrane; Multi-pass membrane protein', 'Membrane; Multi-pass membrane protein', 'Perikaryon', 'Cell projection, axon', 'Cell projection, dendrite', 'Postsynaptic cell membrane', 'Presynaptic cell membrane', 'Synapse, synaptosome', 'Synapse', 'Apical cell membrane', 'Basolateral cell membrane']",1
Q96PS8,AQP10,14.6,301,"['Apical cell membrane; Multi-pass membrane protein', 'Cell membrane; Multi-pass membrane protein', 'Lipid droplet']",17
Q96PU4,UHRF2,22.1,802,"['Nucleus', 'Chromosome']",124
Q96PU5,NEDD4L,34.1,975,"['Cytoplasm', 'Golgi apparatus', 'Endosome, multivesicular body']",170
Q96PU8,QKI,44.0,341,"['Nucleus', 'Cytoplasm']",155
Q96PV0,SYNGAP1,58.2,1343,None,47
Q96PV4,PNMA5,34.4,448,None,61
Q96PV6,LENG8,63.1,800,None,132
Q96PV7,FAM193B,96.5,902,"['Cytoplasm', 'Nucleus']",9
Q96PX1,RNF157,51.1,679,['Cytoplasm'],31
Q96PX8,SLITRK1,30.3,696,"['Membrane; Single-pass type I membrane protein', 'Secreted', 'Synapse']",4
Q96PX9,PLEKHG4B,47.4,1627,"['Basal cell membrane', 'Cell junction', 'Nucleus', 'Cytoplasm']",26
Q96PY5,FMNL2,33.4,1086,['Cytoplasm'],57
Q96PY6,NEK1,65.9,1258,"['Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm']",56
Q96PZ0,PUS7,15.0,661,['Nucleus'],120
Q96PZ2,FAM111A,19.3,611,"['Nucleus', 'Chromosome', 'Cytoplasm']",60
Q96Q04,LMTK3,80.4,1460,"['Membrane; Single- pass membrane protein', 'Cell projection, axon', 'Cell projection, dendrite', 'Golgi apparatus membrane']",5
Q96Q05,TRAPPC9,11.1,1148,"['Golgi apparatus, cis-Golgi network', 'Endoplasmic reticulum', 'Cytoplasm']",68
Q96Q06,PLIN4,28.1,1371,"['Cell membrane', 'Cytoplasm', 'Lipid droplet']",5
Q96Q07,BTBD9,11.9,612,None,50
Q96Q11,TRNT1,6.2,434,"['Mitochondrion', 'Cytoplasm', 'Nucleus']",38
Q96Q27,ASB2,11.6,635,"['Cytoplasm, cytoskeleton, stress fiber']",37
Q96Q35,FLACC1,69.2,445,"['Cytoplasm', 'Cytoplasmic granule', 'Cell projection, cilium, flagellum']",0
Q96Q40,CDK15,26.9,435,None,111
Q96Q42,ALS2,19.6,1657,None,23
Q96Q45,TMEM237,58.1,408,"['Membrane; Multi-pass membrane protein', 'Cell projection, cilium']",175
Q96Q77,CIB3,1.1,187,None,62
Q96Q80,DERL3,15.3,235,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],23
Q96Q83,ALKBH3,23.8,286,"['Nucleus', 'Cytoplasm']",51
Q96Q89,KIF20B,51.3,1820,"['Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Nucleus, nucleolus', 'Nucleus, nucleoplasm', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole', 'Midbody', 'Cell projection, axon', 'Cell projection, growth cone']",56
Q96Q91,SLC4A9,23.2,983,['Basolateral cell membrane; Multi-pass membrane protein'],0
Q96QA5,GSDMA,6.7,445,"['[Gasdermin-A]: Cytoplasm, perinuclear region', 'Cytoplasm, cytosol', '[Gasdermin-A, N-terminal]: Cell membrane; Multi-pass membrane protein']",83
Q96QB1,DLC1,60.9,1528,"['Cytoplasm', 'Cell junction, focal adhesion', 'Membrane; Peripheral membrane protein']",50
Q96QC0,PPP1R10,82.7,940,['Nucleus'],135
Q96QD8,SLC38A2,20.6,506,['Cell membrane; Multi-pass membrane protein'],114
Q96QD9,FYTTD1,100.0,318,"['Nucleus, nucleoplasm', 'Nucleus speckle']",128
Q96QE2,SLC2A13,16.0,648,['Cell membrane; Multi-pass membrane protein'],9
Q96QE3,ATAD5,71.2,1844,['Nucleus'],59
Q96QE5,TEFM,16.7,360,"['Mitochondrion matrix', 'Mitochondrion matrix, mitochondrion nucleoid']",200
Q96QF0,RAB3IP,52.9,476,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cytoskeleton', 'Cell projection, lamellipodium', 'Vesicle', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",111
Q96QF7,GCNA,72.4,691,"['Nucleus', 'Nucleus, PML body', 'Chromosome']",0
Q96QG7,MTMR9,3.1,549,"['Cytoplasm', 'Cell projection, ruffle membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, perinuclear region', 'Endoplasmic reticulum']",57
Q96QH2,PRAM1,87.3,670,None,38
Q96QI5,HS3ST6,24.3,342,['Golgi apparatus membrane; Single- pass type II membrane protein'],3
Q96QK1,VPS35,1.3,796,"['Cytoplasm', 'Membrane; Peripheral membrane protein', 'Endosome', 'Early endosome', 'Late endosome']",181
Q96QP1,ALPK1,39.5,1244,"['Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton, spindle pole', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cell projection, cilium']",6
Q96QR8,PURB,37.2,312,['Nucleus'],104
Q96QS3,ARX,86.8,562,['Nucleus'],27
Q96QS6,PSKH2,17.9,385,None,0
Q96QT4,TRPM7,26.5,1865,['Membrane; Multi-pass membrane protein'],109
Q96QT6,PHF12,74.2,1004,['Nucleus'],93
Q96QU1,PCDH15,27.6,1955,['Cell membrane; Single-pass type I membrane protein'],2
Q96QU6,ACCS,15.6,501,None,9
Q96QU8,XPO6,1.7,1125,"['Nucleus', 'Cytoplasm']",74
Q96QV1,HHIP,10.3,700,"['Cell membrane; Peripheral membrane protein', 'Secreted']",7
Q96QV6,H2AC1,37.4,131,"['Nucleus', 'Chromosome']",42
Q96QZ7,MAGI1,50.8,1491,"['Cell junction, tight junction', 'Cell membrane; Peripheral membrane protein']",159
Q96R06,SPAG5,62.9,1193,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole', 'Chromosome, centromere, kinetochore', 'Midbody', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasmic granule', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite']",163
Q96RD6,PANX2,46.7,677,"['Cell membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",8
Q96RD7,PANX1,20.2,426,"['Cell membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",260
Q96RD9,FCRL5,16.6,977,['Cell membrane; Single-pass type I membrane protein'],11
Q96RE7,NACC1,52.0,527,"['Nucleus', 'Cytoplasm']",71
Q96RE9,ZNF300,32.5,604,['Nucleus'],4
Q96RF0,SNX18,33.8,628,"['Endomembrane system; Peripheral membrane protein; Cytoplasmic side', 'Endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Recycling endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side']",73
Q96RG2,PASK,53.7,1323,"['Cytoplasm', 'Nucleus']",135
Q96RI0,F2RL3,20.5,385,['Cell membrane; Multi-pass membrane protein'],1
Q96RI1,NR1H4,36.4,486,['Nucleus'],25
Q96RI8,TAAR6,4.9,345,['Cell membrane; Multi-pass membrane protein'],0
Q96RJ0,TAAR1,6.2,339,['Cell membrane; Multi-pass membrane protein'],5
Q96RJ3,TNFRSF13C,100.0,184,['Membrane; Single-pass type III membrane protein'],12
Q96RJ6,FERD3L,50.6,166,['Nucleus'],15
Q96RK0,CIC,92.7,2517,['Nucleus'],627
Q96RK4,BBS4,16.0,519,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cell projection, cilium membrane', 'Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite', 'Cell projection, cilium, flagellum', 'Cell projection, cilium']",49
Q96RL1,UIMC1,91.0,719,['Nucleus'],81
Q96RL6,SIGLEC11,26.8,698,['Membrane; Single-pass type I membrane protein'],5
Q96RN1,SLC26A8,37.5,970,['Membrane; Multi- pass membrane protein'],3
Q96RN5,MED15,66.2,788,"['Cytoplasm', 'Nucleus']",89
Q96RP3,UCN2,94.6,112,['Secreted'],1
Q96RP7,GAL3ST4,28.0,486,"['Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein']",4
Q96RP9,GFM1,6.5,751,['Mitochondrion'],287
Q96RQ1,ERGIC2,19.4,377,"['Endoplasmic reticulum-Golgi intermediate compartment membrane; Multi-pass membrane protein', 'Golgi apparatus, cis-Golgi network membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Cytoplasm', 'Nucleus']",221
Q96RQ3,MCCC1,7.3,725,['Mitochondrion matrix'],137
Q96RQ9,IL4I1,14.5,567,"['Secreted', 'Lysosome', 'Cytoplasmic vesicle, secretory vesicle, acrosome']",2
Q96RR1,TWNK,17.0,684,"['Mitochondrion matrix, mitochondrion nucleoid', 'Mitochondrion inner membrane; Peripheral membrane protein']",114
Q96RR4,CAMKK2,45.9,588,"['Nucleus', 'Cytoplasm', 'Cell projection, neuron projection']",52
Q96RS0,TGS1,56.4,853,"['Cytoplasm', 'Nucleus, Cajal body', 'Nucleus, nucleolus']",63
Q96RS6,NUDCD1,9.1,583,None,199
Q96RT1,ERBIN,62.2,1412,"['Cell junction, hemidesmosome', 'Nucleus membrane', 'Basolateral cell membrane']",0
Q96RT7,TUBGCP6,39.3,1819,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",49
Q96RT8,TUBGCP5,21.8,1024,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",46
Q96RU2,USP28,21.6,1077,"['Nucleus, nucleoplasm']",66
Q96RU3,FNBP1,34.7,617,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cell cortex', 'Lysosome', 'Cytoplasmic vesicle', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Membrane, clathrin-coated pit']",54
Q96RU7,TRIB3,27.1,358,['Nucleus'],110
Q96RU8,TRIB1,30.9,372,None,33
Q96RY7,IFT140,4.7,1462,"['Cytoplasm, cytoskeleton, cilium basal body', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cell projection, cilium']",55
Q96S06,LMF1,7.2,567,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],45
Q96S15,WDR24,27.1,790,['Lysosome membrane'],30
Q96S16,JMJD8,11.7,264,"['Endoplasmic reticulum lumen', 'Cytoplasm']",29
Q96S21,RAB40C,18.9,281,['Cell membrane; Lipid-anchor; Cytoplasmic side'],25
Q96S37,SLC22A12,3.1,553,['Apical cell membrane; Multi-pass membrane protein'],4
Q96S38,RPS6KC1,56.5,1066,"['Cytoplasm', 'Membrane', 'Early endosome']",22
Q96S42,NODAL,17.6,347,['Secreted'],4
Q96S44,TP53RK,9.1,253,"['Cytoplasm', 'Nucleus']",208
Q96S52,PIGS,5.2,555,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],104
Q96S53,TESK2,41.9,571,['Nucleus'],72
Q96S55,WRNIP1,29.2,665,"['Nucleus', 'Cytoplasm']",85
Q96S59,RANBP9,38.4,729,"['Cytoplasm', 'Nucleus', 'Cell membrane; Peripheral membrane protein']",282
Q96S65,CSRNP1,64.0,589,['Nucleus'],19
Q96S66,CLCC1,53.5,551,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Golgi apparatus membrane; Multi-pass membrane protein', 'Nucleus membrane; Multi- pass membrane protein']",141
Q96S82,UBL7,33.2,380,None,53
Q96S94,CCNL2,48.8,520,"['Nucleus speckle', 'Nucleus, nucleoplasm']",78
Q96S97,MYADM,8.7,322,['Membrane; Multi-pass membrane protein'],85
Q96S99,PLEKHF1,17.2,279,"['Nucleus', 'Cytoplasm, perinuclear region', 'Lysosome']",7
Q96SB3,PPP1R9B,66.2,817,"['Cytoplasm, cytoskeleton', 'Nucleus', 'Cell projection, dendritic spine', 'Postsynaptic density', 'Synapse', 'Cell junction, adherens junction', 'Cytoplasm', 'Cell membrane', 'Cell projection, lamellipodium', 'Cell projection, filopodium', 'Cell projection, ruffle membrane']",125
Q96SB4,SRPK1,33.6,655,"['Cytoplasm', 'Nucleus, nucleoplasm', 'Nucleus speckle', 'Chromosome']",351
Q96SB8,SMC6,7.6,1091,"['Nucleus', 'Nucleus speckle', 'Chromosome', 'Nucleus, PML body', 'Chromosome, telomere']",66
Q96SD1,DCLRE1C,47.7,692,['Nucleus'],38
