Entry	Entry Name	Protein names	Length	Gene Names (primary)	Gene Names (synonym)
Q9Y2G8	DJC16_HUMAN	DnaJ homolog subfamily C member 16 (Endoplasmic reticulum DNA J domain-containing protein 8) (ER-resident protein ERdj8) (ERdj8)	782	DNAJC16	ERDJ8 KIAA0962
Q9Y2R2	PTN22_HUMAN	Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)	807	PTPN22	PTPN8
Q9Y371	SHLB1_HUMAN	Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)	365	SH3GLB1	KIAA0491
Q9Y3C8	UFC1_HUMAN	Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)	167	UFC1	
Q9Y3D6	FIS1_HUMAN	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	152	FIS1	TTC11
Q9Y3E7	CHMP3_HUMAN	Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Neuroendocrine differentiation factor) (Vacuolar protein sorting-associated protein 24) (hVps24)	222	CHMP3	CGI149 NEDF VPS24
Q9Y3I1	FBX7_HUMAN	F-box only protein 7	522	FBXO7	FBX7
Q9Y484	WIPI4_HUMAN	WD repeat domain phosphoinositide-interacting protein 4 (WIPI-4) (WD repeat-containing protein 45)	360	WDR45	WDRX1 WDRXI4 WIPI4
Q9Y4G2	PKHM1_HUMAN	Pleckstrin homology domain-containing family M member 1 (PH domain-containing family M member 1) (162 kDa adapter protein) (AP162)	1056	PLEKHM1	KIAA0356
Q9Y4K3	TRAF6_HUMAN	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)	522	TRAF6	RNF85
Q9Y4P1	ATG4B_HUMAN	Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 1) (Autophagin-1) (Autophagy-related protein 4 homolog B) (HsAPG4B) (hAPG4B)	393	ATG4B	APG4B AUTL1 KIAA0943
Q9Y4P8	WIPI2_HUMAN	WD repeat domain phosphoinositide-interacting protein 2 (WIPI-2) (WIPI49-like protein 2)	454	WIPI2	
Q9Y577	TRI17_HUMAN	E3 ubiquitin-protein ligase TRIM17 (EC 2.3.2.27) (RING finger protein 16) (RING-type E3 ubiquitin transferase TRIM17) (Testis RING finger protein) (Tripartite motif-containing protein 17)	477	TRIM17	RBCC RNF16 TERF
Q9Y5W7	SNX14_HUMAN	Sorting nexin-14	946	SNX14	
Q9Y679	AUP1_HUMAN	Lipid droplet-regulating VLDL assembly factor AUP1 (Ancient ubiquitous protein 1)	410	AUP1	
Q9Y6I9	TX264_HUMAN	Testis-expressed protein 264 (Putative secreted protein Zsig11)	313	TEX264	ZSIG11
A4D1S5	RAB19_HUMAN	Ras-related protein Rab-19	217	RAB19	RAB19B
A6NC51	T150B_HUMAN	Modulator of macroautophagy TMEM150B (Protein DRAM-3) (Transmembrane protein 150B) (Transmembrane protein 224)	233	TMEM150B	TMEM224
A6NCE7	MP3B2_HUMAN	Microtubule-associated proteins 1A/1B light chain 3 beta 2 (Microtubule-associated proteins 1A/1B light chain 3B-like)	125	MAP1LC3B2	
A6NDU8	RIMC1_HUMAN	RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51)	294	RIMOC1	C5orf51
O15321	TM9S1_HUMAN	Transmembrane 9 superfamily member 1 (MP70 protein family member) (hMP70)	606	TM9SF1	
P59074	CHM4P_HUMAN	Putative charged multivesicular body protein 4B-like protein CHMP4BP1 (Charged multivesicular body protein 4B pseudogene 1)	171	CHMP4BP1	
Q6ZS81	WDFY4_HUMAN	WD repeat- and FYVE domain-containing protein 4	3184	WDFY4	C10orf64 KIAA1607
Q8NAA4	A16L2_HUMAN	Protein Atg16l2 (APG16-like 2) (Autophagy-related protein 16-2) (WD repeat-containing protein 80)	619	ATG16L2	WDR80
Q8TF45	ZN418_HUMAN	Zinc finger protein 418	676	ZNF418	KIAA1956
Q92928	RAB1C_HUMAN	Putative Ras-related protein Rab-1C (hRab1c) (EC 3.6.5.2)	201	RAB1C	
Q96N06	SPT33_HUMAN	Spermatogenesis-associated protein 33	139	SPATA33	C16orf55
Q96NL1	TMM74_HUMAN	Transmembrane protein 74	305	TMEM74	
Q9BPW8	NIPS1_HUMAN	Protein NipSnap homolog 1 (NipSnap1)	284	NIPSNAP1	
Q9BY60	GBRL3_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 3 (GABA(A) receptor-associated protein-like 3)	117	GABARAPL3	
Q8IVB5	LIX1L_HUMAN	LIX1-like protein	337	LIX1L	
Q8N485	LIX1_HUMAN	Protein limb expression 1 homolog	282	LIX1	C5orf11
