,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
Q9H0R8,GABARAPL1,0.0,117,"['Cytoplasmic vesicle, autophagosome', 'Cytoplasmic vesicle membrane; Lipid-anchor', 'Cytoplasm, cytoskeleton', 'Endoplasmic reticulum', 'Golgi apparatus']",288,533
Q9H0U4,RAB1B,12.4,201,"['Cytoplasm', 'Membrane; Lipid-anchor; Cytoplasmic side', 'Preautophagosomal structure membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, perinuclear region']",253,140
Q9H0Y0,ATG10,18.6,220,['Cytoplasm'],164,17
Q9H1Y0,ATG5,0.0,275,"['Cytoplasm', 'Preautophagosomal structure membrane; Peripheral membrane protein']",586,169
Q9H269,VPS16,0.0,839,"['Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Early endosome', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Cytoplasmic vesicle, autophagosome']",155,91
Q9H270,VPS11,8.8,941,"['Endosome', 'Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Early endosome', 'Cytoplasmic vesicle', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasmic vesicle, clathrin-coated vesicle']",114,72
Q9H2M9,RAB3GAP2,10.8,1393,"['Cytoplasm', 'Endoplasmic reticulum']",54,81
Q9H444,CHMP4B,54.9,224,"['Cytoplasm, cytosol', 'Late endosome membrane; Peripheral membrane protein', 'Midbody', 'Nucleus envelope']",226,649
Q9H492,MAP1LC3A,0.0,121,"['Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor', 'Endomembrane system; Lipid-anchor', 'Cytoplasm, cytoskeleton']",547,475
Q9H4P4,RNF41,0.0,317,None,317,136
Q9H6K1,ILRUN,41.9,298,"['Cytoplasm', 'Nucleus']",72,0
Q9H6L5,RETREG1,70.4,497,"['Golgi apparatus, cis-Golgi network membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Endoplasmic reticulum membrane; Multi-pass membrane protein']",270,0
Q9H6U6,BCAS3,41.2,928,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Preautophagosomal structure']",89,59
Q9H714,RUBCNL,52.3,662,"['Cytoplasmic vesicle, autophagosome membrane; Peripheral membrane protein']",90,0
Q9H8M9,EVA1A,78.3,152,"['Endoplasmic reticulum membrane; Single-pass membrane protein', 'Lysosome membrane; Single-pass membrane protein']",324,10
Q9H9H4,VPS37B,53.3,285,['Late endosome membrane; Peripheral membrane protein'],33,46
Q9HA65,TBC1D17,22.7,648,"['Cytoplasmic vesicle, autophagosome', 'Cytoplasm', 'Recycling endosome']",37,45
Q9HAD4,WDR41,19.0,459,['Cytoplasm'],148,114
Q9HBF4,ZFYVE1,9.1,777,"['Golgi apparatus, Golgi stack', 'Golgi apparatus', 'Endoplasmic reticulum', 'Lipid droplet', 'Preautophagosomal structure', 'Mitochondrion']",103,53
Q9HC29,NOD2,4.5,1040,"['Cell membrane; Lipid-anchor', 'Basolateral cell membrane', 'Cytoplasm', 'Mitochondrion']",389,92
Q9HCE0,EPG5,14.3,2579,"['Cytoplasm, perinuclear region', 'Lysosome']",281,9
Q9HCE7,SMURF1,25.1,757,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side']",404,272
Q9HD42,CHMP1A,18.9,196,"['Cytoplasm', 'Endosome membrane; Peripheral membrane protein', 'Nucleus matrix']",321,85
Q9NP79,VTA1,33.2,307,"['Cytoplasm', 'Endosome membrane; Peripheral membrane protein']",48,69
Q9NQ11,ATP13A2,8.4,1180,"['Lysosome membrane; Multi-pass membrane protein', 'Late endosome membrane; Multi-pass membrane protein', 'Endosome, multivesicular body membrane; Multi-pass membrane protein', 'Cytoplasmic vesicle, autophagosome membrane; Multi-pass membrane protein']",45,90
Q9NQ88,TIGAR,0.0,270,"['Cytoplasm', 'Nucleus', 'Mitochondrion']",347,40
Q9NQB0,TCF7L2,85.9,619,"['Nucleus, PML body', 'Nucleus']",113,232
Q9NR00,TCIM,54.7,106,"['Cytoplasm', 'Nucleus, nucleolus', 'Nucleus speckle', 'Nucleus']",62,0
Q9NRR5,UBQLN4,49.4,601,"['Nucleus', 'Cytoplasm', 'Chromosome', 'Endoplasmic reticulum', 'Cytoplasm, perinuclear region', 'Cytoplasmic vesicle, autophagosome']",167,222
Q9NSK7,C19orf12,73.0,141,"['Mitochondrion', 'Mitochondrion membrane; Single-pass membrane protein', 'Endoplasmic reticulum', 'Cytoplasm, cytosol']",34,1
Q9NSV4,DIAPH3,30.5,1193,"['Cytoplasm', 'Nucleus']",199,94
Q9NT62,ATG3,24.8,314,['Cytoplasm'],384,63
Q9NTK1,DEPP1,100.0,212,"['Cytoplasm', 'Peroxisome', 'Mitochondrion']",135,0
Q9NV64,TMEM39A,19.5,488,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],106,47
Q9NVJ2,ARL8B,5.4,186,"['Late endosome membrane', 'Lysosome membrane', 'Cytoplasm, cytoskeleton, spindle', 'Cell projection, axon', 'Synapse', 'Cytolytic granule membrane', 'Early endosome membrane']",38,89
Q9NVS9,PNPO,14.9,261,None,28,33
Q9NX55,HYPK,55.8,121,"['Nucleus', 'Cytoplasm']",23,93
Q9NYB9,ABI2,66.5,513,"['Cytoplasm', 'Nucleus']",121,256
Q9NZ94,NLGN3,33.0,848,"['Cell membrane; Single-pass type I membrane protein', 'Synapse']",22,84
Q9NZZ3,CHMP5,58.4,219,"['Cytoplasm, cytosol', 'Endosome membrane; Peripheral membrane protein', 'Midbody']",73,67
Q9P1W9,PIM2,13.8,311,None,281,24
Q9P253,VPS18,10.4,973,"['Late endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Lysosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Early endosome', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasmic vesicle, clathrin-coated vesicle']",194,92
Q9P2M4,TBC1D14,51.1,693,"['Golgi apparatus, cis-Golgi network', 'Golgi apparatus, trans-Golgi network']",36,37
Q9P2Y5,UVRAG,49.6,699,"['Late endosome', 'Lysosome', 'Cytoplasmic vesicle, autophagosome', 'Early endosome', 'Endoplasmic reticulum', 'Midbody', 'Chromosome, centromere']",320,75
Q9UBE0,SAE1,11.0,346,['Nucleus'],14,91
Q9UBN7,HDAC6,30.5,1215,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Nucleus', 'Perikaryon', 'Cell projection, dendrite', 'Cell projection, axon', 'Cell projection, cilium', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, cilium basal body']",539,402
Q9UBT2,UBA2,17.3,640,"['Cytoplasm', 'Nucleus']",59,109
Q9UER7,DAXX,62.2,740,"['Cytoplasm', 'Nucleus, nucleoplasm', 'Nucleus, PML body', 'Nucleus, nucleolus', 'Chromosome, centromere']",88,306
Q9UEU0,VTI1B,39.2,232,"['Early endosome membrane; Single-pass type IV membrane protein', 'Late endosome membrane; Single-pass type IV membrane protein', 'Lysosome membrane', 'Cytoplasmic granule', 'Recycling endosome membrane; Single-pass type IV membrane protein']",29,161
Q9UFN0,NIPSNAP3A,10.9,247,"['Cytoplasm, cytosol']",9,82
Q9UGL1,KDM5B,23.6,1544,['Nucleus'],114,78
Q9UH77,KLHL3,6.3,587,"['Cytoplasm, cytosol', 'Cytoplasm, cytoskeleton']",98,29
Q9UHD2,TBK1,9.3,729,['Cytoplasm'],475,279
Q9UHD9,UBQLN2,53.4,624,"['Cytoplasm', 'Nucleus', 'Membrane', 'Cytoplasmic vesicle, autophagosome']",289,716
Q9UIB8,CD84,41.4,345,['Cell membrane; Single-pass type I membrane protein'],174,5
Q9UID3,VPS51,18.5,782,"['Golgi apparatus, trans-Golgi network', 'Recycling endosome']",61,110
Q9UJY5,GGA1,35.5,639,"['Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Endosome membrane; Peripheral membrane protein', 'Early endosome membrane; Peripheral membrane protein']",60,87
Q9UK41,VPS28,13.1,221,"['Cell membrane', 'Late endosome membrane; Peripheral membrane protein']",113,97
Q9UKA2,FBXL4,14.2,621,"['Cytoplasm', 'Nucleus', 'Mitochondrion']",65,55
Q9UKV8,AGO2,4.7,859,"['Cytoplasm, P-body', 'Nucleus']",141,426
Q9ULC3,RAB23,24.1,237,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm', 'Cytoplasmic vesicle, autophagosome', 'Endosome membrane', 'Cytoplasmic vesicle, phagosome', 'Cytoplasmic vesicle, phagosome membrane; Lipid-anchor; Cytoplasmic side']",379,43
Q9UM07,PADI4,0.0,663,"['Cytoplasm', 'Nucleus', 'Cytoplasmic granule']",91,28
Q9UMX0,UBQLN1,50.3,589,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum', 'Cytoplasmic vesicle, autophagosome', 'Cell membrane']",414,359
Q9UN37,VPS4A,6.9,437,"['Late endosome membrane; Peripheral membrane protein', 'Midbody', 'Cytoplasm, cytoskeleton, spindle']",232,62
Q9UNA1,ARHGAP26,24.7,814,"['Cytoplasm', 'Cell junction, focal adhesion', 'Cytoplasm, cytoskeleton']",133,53
Q9UNH6,SNX7,10.6,387,['Early endosome membrane; Peripheral membrane protein; Cytoplasmic side'],49,23
Q9UNZ2,NSFL1C,35.4,370,"['Nucleus', 'Golgi apparatus, Golgi stack', 'Chromosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",49,128
Q9UQN3,CHMP2B,56.3,213,"['Cytoplasm, cytosol', 'Late endosome membrane; Peripheral membrane protein']",90,52
Q9Y239,NOD1,4.8,953,"['Cell membrane; Lipid-anchor', 'Apical cell membrane', 'Basolateral cell membrane', 'Cytoplasm']",333,29
Q9Y258,CCL26,38.3,94,['Secreted'],0,14
Q9Y263,PLAA,10.1,795,"['Nucleus', 'Cytoplasm', 'Synapse']",74,71
Q9Y296,TRAPPC4,1.8,219,"['Postsynaptic cell membrane', 'Golgi apparatus membrane', 'Endoplasmic reticulum', 'Vesicle']",225,62
Q9Y2G8,DNAJC16,18.9,782,['Endoplasmic reticulum membrane; Single-pass type IV membrane protein'],0,199
Q9Y2R2,PTPN22,62.6,807,['Cytoplasm'],411,56
Q9Y371,SH3GLB1,19.2,365,"['Cytoplasm', 'Golgi apparatus membrane; Peripheral membrane protein', 'Mitochondrion outer membrane; Peripheral membrane protein', 'Cytoplasmic vesicle, autophagosome membrane', 'Midbody']",292,129
Q9Y3C8,UFC1,0.6,167,None,99,52
Q9Y3D6,FIS1,19.1,152,"['Mitochondrion outer membrane; Single-pass membrane protein', 'Peroxisome membrane; Single-pass membrane protein']",91,196
Q9Y3E7,CHMP3,30.2,222,"['Cytoplasm, cytosol', 'Membrane; Lipid-anchor', 'Endosome', 'Late endosome membrane']",156,54
Q9Y3I1,FBXO7,39.7,522,"['Cytoplasm', 'Nucleus', 'Mitochondrion', 'Cytoplasm, cytosol']",237,227
Q9Y3M2,CBY1,48.4,126,"['Nucleus speckle', 'Cytoplasm, cytoskeleton, cilium basal body', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Golgi apparatus', 'Golgi apparatus, trans- Golgi network']",46,166
Q9Y484,WDR45,0.0,360,"['Preautophagosomal structure', 'Cytoplasm']",24,41
Q9Y4G2,PLEKHM1,37.2,1056,"['Autolysosome membrane', 'Endosome membrane', 'Late endosome membrane', 'Lysosome membrane']",110,28
Q9Y4K3,TRAF6,17.8,522,"['Cytoplasm', 'Cytoplasm, cell cortex', 'Nucleus', 'Lipid droplet']",698,605
Q9Y4P1,ATG4B,11.2,393,"['Cytoplasm', 'Cytoplasm, cytosol', 'Cytoplasmic vesicle, autophagosome', 'Endoplasmic reticulum', 'Mitochondrion']",326,45
Q9Y4P8,WIPI2,22.5,454,['Preautophagosomal structure membrane; Peripheral membrane protein; Cytoplasmic side'],300,80
Q9Y577,TRIM17,5.7,477,"['Cytoplasm', 'Lysosome']",81,28
Q9Y5B0,CTDP1,51.6,961,"['Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle pole', 'Midbody']",13,147
Q9Y5W7,SNX14,22.0,946,"['Lysosome membrane; Multi-pass membrane protein', 'Late endosome membrane; Multi-pass membrane protein', 'Cell projection, dendrite']",54,51
Q9Y613,FHOD1,35.0,1164,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell projection, bleb']",24,61
Q9Y679,AUP1,19.8,410,"['Endoplasmic reticulum membrane; Peripheral membrane protein', 'Lipid droplet', 'Cytoplasmic vesicle, autophagosome']",121,200
Q9Y6I9,TEX264,39.6,313,"['Endoplasmic reticulum membrane; Single-pass type III membrane protein', 'Cytoplasmic vesicle, autophagosome', 'Cytoplasm, cytosol', 'Nucleus', 'Chromosome']",17,159
Q9Y6Q9,NCOA3,79.1,1424,"['Cytoplasm', 'Nucleus']",111,150
A5YKK6,CNOT1,13.9,2376,"['Cytoplasm, P-body', 'Nucleus']",17,203
A6NF83,NUPR2,90.7,97,['Nucleus'],1,0
O00268,TAF4,77.7,1085,['Nucleus'],13,107
O00522,KRIT1,11.4,736,"['Cytoplasm, cytoskeleton', 'Cell membrane; Peripheral membrane protein', 'Cell junction']",6,35
O00571,DDX3X,33.7,662,"['Cell membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm, Stress granule', 'Inflammasome', 'Cell projection, lamellipodium', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",60,473
O00585,CCL21,56.0,134,['Secreted'],74,19
O14519,CDK2AP1,62.6,115,"['Nucleus', 'Chromosome']",50,111
O14558,HSPB6,43.1,160,"['Cytoplasm', 'Nucleus', 'Secreted']",35,11
O14672,ADAM10,13.2,748,"['Cell membrane; Single-pass type I membrane protein', 'Golgi apparatus membrane; Single-pass type I membrane protein', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Cell projection, axon', 'Cell projection, dendrite', 'Cell junction, adherens junction', 'Cytoplasm']",102,140
O14713,ITGB1BP1,29.5,200,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell membrane', 'Cell projection, lamellipodium', 'Cell projection, ruffle']",14,24
O14733,MAP2K7,21.5,419,"['Nucleus', 'Cytoplasm']",68,95
O14745,NHERF1,45.0,358,"['Cytoplasm', 'Apical cell membrane', 'Endomembrane system; Peripheral membrane protein', 'Cell projection, filopodium', 'Cell projection, ruffle', 'Cell projection, microvillus']",119,155
O14776,TCERG1,44.9,1098,['Nucleus'],25,132
O14810,CPLX1,70.9,134,"['Cytoplasm, cytosol', 'Perikaryon', 'Presynapse']",39,39
O14936,CASK,13.5,926,"['Nucleus', 'Cytoplasm', 'Cell membrane; Peripheral membrane protein']",44,168
O14958,CASQ2,14.0,399,['Sarcoplasmic reticulum lumen'],5,60
O14974,PPP1R12A,71.8,1030,"['Cytoplasm', 'Cytoplasm, cytoskeleton, stress fiber']",59,200
O15169,AXIN1,73.9,862,"['Cytoplasm', 'Nucleus', 'Membrane', 'Cell membrane']",100,155
O15234,CASC3,97.3,703,"['Cytoplasm', 'Cytoplasm, perinuclear region', 'Nucleus', 'Nucleus speckle', 'Cytoplasm, Stress granule', 'Cytoplasm, Cytoplasmic ribonucleoprotein granule', 'Cell projection, dendrite']",35,110
O15273,TCAP,61.1,167,"['Cytoplasm, myofibril, sarcomere']",37,52
O43172,PRPF4,19.7,522,"['Nucleus', 'Nucleus speckle']",15,193
O43312,MTSS1,68.5,755,"['Cytoplasm, cytoskeleton']",105,17
O43313,ATMIN,83.8,823,['Nucleus'],30,12
O43474,KLF4,82.5,513,"['Nucleus', 'Cytoplasm']",157,144
O43516,WIPF1,100.0,503,"['Cytoplasmic vesicle', 'Cytoplasm, cytoskeleton', 'Cell projection, ruffle']",39,38
O43663,PRC1,28.4,620,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytoskeleton, spindle pole', 'Midbody', 'Chromosome']",29,908
O43715,TRIAP1,28.9,76,"['Mitochondrion', 'Mitochondrion intermembrane space']",25,47
O60502,OGA,25.4,916,None,45,64
O60566,BUB1B,42.9,1050,"['Cytoplasm', 'Nucleus', 'Chromosome, centromere, kinetochore', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",73,124
O60701,UGDH,4.7,494,None,13,65
O60741,HCN1,39.1,890,['Cell membrane; Multi-pass membrane protein'],18,59
O60828,PQBP1,80.0,265,"['Nucleus', 'Nucleus speckle', 'Cytoplasmic granule']",25,72
O60829,PAGE4,100.0,102,"['Cytoplasm', 'Nucleus', 'Mitochondrion']",14,246
O60885,BRD4,78.4,1362,"['Nucleus', 'Chromosome']",138,1452
O60888,CUTA,38.5,179,None,19,41
O75496,GMNN,73.2,209,"['Cytoplasm', 'Nucleus']",40,97
O75506,HSBP1,60.5,76,['Nucleus'],35,48
O75533,SF3B1,33.3,1304,"['Nucleus', 'Nucleus speckle']",14,338
O75554,WBP4,71.8,376,"['Nucleus', 'Nucleus speckle']",6,94
O75683,SURF6,69.8,361,"['Nucleus, nucleoplasm', 'Nucleus, nucleolus']",55,351
O75807,PPP1R15A,95.4,674,"['Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Mitochondrion outer membrane; Peripheral membrane protein; Cytoplasmic side']",49,128
O75817,POP7,17.1,140,"['Nucleus, nucleolus', 'Cytoplasm', 'Cytoplasmic granule']",4,53
O75928,PIAS2,43.8,621,"['Nucleus speckle', 'Nucleus, PML body', 'Nucleus']",47,155
O76074,PDE5A,13.3,875,None,31,14
O94907,DKK1,50.4,266,['Secreted'],111,19
O94986,CEP152,59.9,1710,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",19,155
O95149,SNUPN,16.7,360,"['Nucleus', 'Cytoplasm']",11,37
O95292,VAPB,46.1,243,['Endoplasmic reticulum membrane; Single-pass type IV membrane protein'],69,349
O95400,CD2BP2,52.8,341,"['Cytoplasm', 'Nucleus']",8,183
O95429,BAG4,82.3,457,['Cytoplasm'],50,199
O95630,STAMBP,19.3,424,"['Nucleus', 'Membrane; Peripheral membrane protein', 'Cytoplasm', 'Early endosome']",84,77
O95644,NFATC1,70.0,943,"['Cytoplasm', 'Nucleus']",97,151
O95718,ESRRB,30.9,433,"['Nucleus', 'Cytoplasm', 'Chromosome']",61,96
O96013,PAK4,46.7,591,['Cytoplasm'],12,317
O96017,CHEK2,23.9,543,"['Nucleus, PML body', 'Nucleus, nucleoplasm']",127,165
P01042,KNG1,47.8,644,"['Secreted, extracellular space']",61,47
P01130,LDLR,20.8,860,"['Cell membrane; Single-pass type I membrane protein', 'Membrane, clathrin-coated pit', 'Golgi apparatus', 'Early endosome', 'Late endosome', 'Lysosome']",45,86
P01137,TGFB1,10.8,390,"['[Latency-associated peptide]: Secreted, extracellular space, extracellular matrix', '[Transforming growth factor beta-1]: Secreted']",215,297
P02533,KRT14,57.0,472,"['Cytoplasm', 'Nucleus']",36,132
P02549,SPTA1,2.4,2419,"['Cytoplasm, cytoskeleton', 'Cytoplasm, cell cortex']",11,84
P02655,APOC2,92.1,101,['Secreted'],15,35
P02671,FGA,51.6,866,['Secreted'],54,81
P02730,SLC4A1,7.5,911,"['Cell membrane; Multi-pass membrane protein', 'Basolateral cell membrane; Multi-pass membrane protein']",44,46
P02808,STATH,100.0,62,['Secreted'],12,44
P04083,ANXA1,0.0,346,"['Nucleus', 'Cytoplasm', 'Cell projection, cilium', 'Cell membrane', 'Membrane; Peripheral membrane protein', 'Endosome membrane; Peripheral membrane protein', 'Basolateral cell membrane', 'Apical cell membrane', 'Lateral cell membrane', 'Secreted', 'Secreted, extracellular space', 'Cell membrane; Peripheral membrane protein; Extracellular side', 'Secreted, extracellular exosome', 'Cytoplasmic vesicle, secretory vesicle lumen', 'Cell projection, phagocytic cup', 'Early endosome', 'Cytoplasmic vesicle membrane; Peripheral membrane protein']",121,199
P04183,TK1,22.2,234,['Cytoplasm'],59,198
P04198,MYCN,86.0,464,['Nucleus'],75,52
P04271,S100B,0.0,92,"['Cytoplasm', 'Nucleus', 'Secreted']",77,159
P04626,ERBB2,23.2,1255,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, ruffle membrane; Single-pass type I membrane protein']",204,475
P04908,H2AC4,37.7,130,"['Nucleus', 'Chromosome']",21,507
P05067,APP,44.3,770,"['Cell membrane; Single-pass type I membrane protein', 'Membrane; Single-pass type I membrane protein', 'Perikaryon', 'Cell projection, growth cone', 'Membrane, clathrin-coated pit', 'Early endosome', 'Cytoplasmic vesicle', '[C83]: Endoplasmic reticulum', 'Golgi apparatus', 'Early endosome', '[C99]: Early endosome', '[Soluble APP-beta]: Secreted', '[Amyloid-beta protein 40]: Cell surface', '[Amyloid-beta protein 42]: Cell surface', '[Gamma-secretase C-terminal fragment 59]: Nucleus', 'Cytoplasm']",188,885
P05106,ITGB3,11.8,788,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, lamellipodium membrane', 'Cell junction, focal adhesion', 'Postsynaptic cell membrane; Single-pass type I membrane protein', 'Synapse']",140,53
P05107,ITGB2,12.0,769,"['Cell membrane; Single-pass type I membrane protein', 'Membrane raft; Single-pass type I membrane protein']",80,52
P05386,RPLP1,49.1,114,None,24,239
P05387,RPLP2,53.0,115,None,6,310
P05556,ITGB1,11.5,798,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, invadopodium membrane; Single-pass type I membrane protein', 'Cell projection, ruffle membrane; Single-pass type I membrane protein', 'Recycling endosome', 'Melanosome', 'Cleavage furrow', 'Cell projection, lamellipodium', 'Cell junction, focal adhesion']",28,275
P06239,LCK,11.6,509,"['Cell membrane; Lipid-anchor; Cytoplasmic side', 'Cytoplasm, cytosol']",92,389
P06400,RB1,26.0,928,['Nucleus'],188,268
P06401,PGR,65.4,933,"['Nucleus', 'Cytoplasm']",76,131
P06454,PTMA,100.0,111,['Nucleus'],40,148
P06730,EIF4E,15.7,217,"['Cytoplasm, P-body', 'Cytoplasm', 'Cytoplasm, Stress granule', 'Nucleus', 'Nucleus speckle', 'Nucleus, nuclear body']",112,115
P06748,NPM1,46.3,294,"['Nucleus, nucleolus', 'Nucleus, nucleoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",135,887
P06899,H2BC11,43.7,126,"['Nucleus', 'Chromosome']",28,94
P07199,CENPB,34.2,599,"['Nucleus', 'Chromosome, centromere']",9,100
P07237,P4HB,9.8,508,"['Endoplasmic reticulum', 'Endoplasmic reticulum lumen', 'Melanosome', 'Cell membrane; Peripheral membrane protein']",109,334
P07305,H1-0,63.9,194,"['Nucleus', 'Chromosome']",10,135
P08235,NR3C2,66.9,984,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane; Peripheral membrane protein']",75,36
P08240,SRPRA,30.7,638,['Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side'],6,0
P08263,GSTA1,0.0,222,['Cytoplasm'],36,20
P08514,ITGA2B,11.6,1039,['Membrane; Single-pass type I membrane protein'],34,15
P08621,SNRNP70,64.8,437,"['Nucleus speckle', 'Nucleus, nucleoplasm']",36,884
P08631,HCK,15.2,526,"['Cytoplasmic vesicle, secretory vesicle', 'Cytoplasm, cytosol']",75,149
P09012,SNRPA,36.5,282,['Nucleus'],18,207
P09038,FGF2,51.7,288,"['Secreted', 'Nucleus']",138,40
P09327,VIL1,5.7,827,"['Cytoplasm, cytoskeleton', 'Cell projection, lamellipodium', 'Cell projection, ruffle', 'Cell projection, microvillus', 'Cell projection, filopodium tip', 'Cell projection, filopodium']",57,18
P0CF51,TRGC1,22.0,173,['Cell membrane'],1,0
P0DMV9,HSPA1B,5.0,641,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",140,785
P10071,GLI3,88.7,1580,"['Nucleus', 'Cytoplasm', 'Cell projection, cilium']",77,61
P10721,KIT,18.5,976,None,130,100
P11021,HSPA5,6.4,654,"['Endoplasmic reticulum lumen', 'Melanosome', 'Cytoplasm', 'Cell surface']",188,0
P11912,CD79A,50.4,226,['Cell membrane; Single-pass type I membrane protein'],15,219
P12081,HARS1,2.8,509,['Cytoplasm'],22,0
P12956,XRCC6,18.2,609,"['Nucleus', 'Chromosome']",69,700
P13010,XRCC5,20.2,732,"['Nucleus', 'Nucleus, nucleolus', 'Chromosome']",82,396
P13647,KRT5,63.4,590,['Cytoplasm'],45,120
P13693,TPT1,12.8,172,['Cytoplasm'],143,292
P13861,PRKAR2A,22.8,404,"['Cytoplasm', 'Cell membrane']",22,126
P14598,NCF1,17.2,390,"['Cytoplasm, cytosol', 'Membrane; Peripheral membrane protein; Cytoplasmic side']",52,86
P14653,HOXB1,82.7,301,['Nucleus'],22,33
P14921,ETS1,48.1,441,"['Nucleus', 'Cytoplasm']",121,100
P15311,EZR,7.0,586,"['Apical cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell projection', 'Cell projection, microvillus membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell projection, ruffle membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton', 'Cell projection, microvillus']",129,458
P15382,KCNE1,97.7,129,"['Cell membrane; Single-pass type I membrane protein', 'Apical cell membrane', 'Membrane raft']",20,19
P15391,CD19,54.1,556,"['Cell membrane; Single-pass type I membrane protein', 'Membrane raft; Single-pass type I membrane protein']",34,25
P15516,HTN3,100.0,51,"['Secreted', '[His3-(20-43)-peptide]: Secreted', 'Mitochondrion']",17,27
P15927,RPA2,26.3,270,"['Nucleus', 'Nucleus, PML body']",52,546
P15941,MUC1,27.1,1255,"['Apical cell membrane; Single-pass type I membrane protein', '[Mucin-1 subunit beta]: Cell membrane', 'Cytoplasm', 'Nucleus']",50,145
P16050,ALOX15,0.0,662,"['Cytoplasm, cytosol', 'Cell membrane; Peripheral membrane protein', 'Lipid droplet']",68,8
P16070,CD44,78.8,742,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, microvillus', 'Secreted']",188,203
P16220,CREB1,80.7,327,['Nucleus'],159,190
P16333,NCK1,25.7,377,"['Cytoplasm', 'Endoplasmic reticulum', 'Nucleus']",55,306
P16471,PRLR,63.3,622,['Membrane; Single-pass type I membrane protein'],82,23
P17181,IFNAR1,26.2,557,None,75,51
P17405,SMPD1,10.1,631,"['Lysosome', 'Lipid droplet', 'Secreted', '[Sphingomyelin phosphodiesterase, processed form]: Secreted, extracellular space']",60,30
P17480,UBTF,26.3,764,"['Nucleus, nucleolus']",47,169
P17677,GAP43,97.5,238,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell projection, growth cone membrane; Peripheral membrane protein; Cytoplasmic side', 'Synapse', 'Cell projection, filopodium membrane; Peripheral membrane protein', 'Perikaryon', 'Cell projection, dendrite', 'Cell projection, axon', 'Cytoplasm']",59,38
P17931,LGALS3,46.0,250,"['Cytoplasm', 'Nucleus', 'Secreted']",53,308
P18564,ITGB6,11.8,788,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, focal adhesion']",72,10
P19634,SLC9A1,38.8,815,"['Cell membrane; Multi-pass membrane protein', 'Basolateral cell membrane; Multi-pass membrane protein']",94,103
P20591,MX1,8.6,662,"['Cytoplasm', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasm, perinuclear region']",57,52
P20823,HNF1A,71.8,631,['Nucleus'],97,62
P21246,PTN,50.6,168,['Secreted'],80,99
